ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
01_electricity_bus_shortage,source,0,0,2372.94,0,2.19,711.88,0,0,0,868497.05
01_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pellet_bus_shortage,source,0,0,24557.9,0,11.31,2320.72,0,0,0,0.0
01_oil_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pv_bus_excess,sink,1723.26,0,0.0,0,3.57,-117.18,0,0,0,-46528.05
01_hp_electricity_bus_shortage,source,0,0,537.24,0,0.36,118.19,0,0,0,196630.23
01_pv_to_01_electricity_link,link,3729.91,0,3729.91,0,2.87,0.0,0.0,50.0,50,0.0
01_electricity_to_01_hp_electricity_bus,link,491.34,0,491.34,0,0.35,0.0,0.0,50.0,50,0.0
01_thermal_storage,storage,1166.96,0,1143.62,0,10.0,0.0,44.46,11.11,30,6713.06
01_heat_without_storage_to_01_heat,link,27529.7,0,27529.7,0,12.63,0.0,0.0,50.0,50,0.0
01_heat_storage_to_01_heat,link,2468.28,0,2468.28,0,2.47,0.0,0.0,50.0,50,0.0
01_electricity_sink,sink,3988.92,0,0.0,0,0.84,0.0,0,0,0,0.0
01_heat_sink,sink,29997.98,0,0.0,0,14.52,0.0,0,0,0,0.0
01_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_oilheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_electricheating_transformer,transformer,1473.09,0,1473.09,0,1.67,0.0,38.47,1.67,50,7365.43
01_pelletheating_transformer,transformer,24557.9,0,22102.11,0,10.18,0.0,386.73,10.18,50,568024.18
01_GCHP_transformer,transformer,737.85,2447.65,3185.5,0,0.41,0.0,114.55,0.41,50,25484.03
01_ASHP_transformer,transformer,290.73,478.27,769.0,0,0.38,0.0,51.88,0.38,50,9228.03
01_photovoltaic_electricity_source,source,0,0,5453.17,0,4.34,0.0,475.0,5.0,5,147235.51
01_solar_thermal_source,source,149.5,2622.76,2491.62,0,1.31,0.0,143.84,1.92,20,29899.47
