date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_ASHP_transformer_input1,01_ASHP_transformer_input2,01_ASHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 13:00:00,0.51741707,3.2840983,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,3.361887,3.361887,0.0,0.0,0.5174170675833193,3.3618869653058963,0.0,0.0,3.2840983,2.9556885,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 14:00:00,0.46088076,3.3903191,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,3.4574856,3.4574856,0.0,0.0,0.460880762515335,3.457485646783789,0.0,0.0,3.3903191,3.0512872,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 15:00:00,0.41880816,3.5585019,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,3.6088502,3.6088502,0.0,0.0,0.4188081623481354,3.6088502257904524,0.0,0.0,3.5585019,3.2026517,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 16:00:00,0.42036641,3.7886469,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,3.8159807,3.8159807,0.0,0.0,0.4203664067987724,3.815980702325887,0.0,0.0,3.7886469,3.4097822,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 17:00:00,0.5141008,4.0630505,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.062944,4.062944,0.0,0.0,0.5141008037524765,4.062943962810443,0.0,0.0,4.0630505,3.6567455,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0.66401191,4.178123,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.1665092,4.1665092,0.0,0.0,0.6640119109009408,4.166509201078161,0.0,0.0,4.178123,3.7603107,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.74747788,4.2135299,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.1983754,4.1983754,0.0,0.0,0.747477876474806,4.198375428237458,0.0,0.0,4.2135299,3.7921769,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.67220268,4.0010884,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.0071781,4.0071781,0.0,0.0,0.6722026830132636,4.007178065281672,0.0,0.0,4.0010884,3.6009796,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.56324544,3.425726,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,3.4893519,3.4893519,0.0,0.0,0.5632454364264132,3.489351873943087,0.0,0.0,3.425726,3.0831534,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.46615482,2.1953355,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,2.3820005,2.3820005,0.0,0.0,0.4661548206559526,2.382000480157495,0.0,0.0,2.1953355,1.975802,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.34517112,1.4783454,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,1.7367094,1.7367094,0.0,0.0,0.3451711233090575,1.7367093801817188,0.0,0.0,1.4783454,1.3305109,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 00:00:00,0.23297752,1.4113498,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,1.6764133,1.6764133,0.0,0.0,0.23297752286319187,1.6764133016868443,0.0,0.0,1.4113498,1.2702148,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.17240576,1.5259763,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,1.7795772,1.7795772,0.0,0.0,0.1724057642179168,1.7795771971752654,0.0,0.0,1.5259763,1.3733787,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.15802197,1.6119463,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,1.8569501,1.8569501,0.0,0.0,0.15802196928895967,1.8569501187915813,0.0,0.0,1.6119463,1.4507516,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.15386665,1.9176171,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,2.1320538,2.1320538,0.0,0.0,0.1538666507539276,2.1320538400940374,0.0,0.0,1.9176171,1.7258554,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.15634386,2.6817941,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,2.8198131,2.8198131,0.0,0.0,0.15634385988058136,2.819813143350179,0.0,0.0,2.6817941,2.4136147,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.18714915,4.1814914,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.1695408,4.1695408,0.0,0.0,0.18714915402009788,4.169540775990356,0.0,0.0,4.1814914,3.7633423,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.35995447,5.4710401,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,5.3301346,5.3301346,0.0,0.0,0.3599544680971524,5.330134600235094,0.0,0.0,5.4710401,4.9239361,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.51713738,5.0698472,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.969061,4.969061,0.0,0.0,0.5171373826819229,4.96906096602562,0.0,0.0,5.0698472,4.5628625,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 08:00:00,0.53339906,4.5826844,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.5306144,4.5306144,0.0,0.0,0.5333990619488272,4.5306144101998305,0.0,0.0,4.5826844,4.1244159,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.36867362,4.1910436,0.0,0.094086697,0.12365172,0.12365172,0.0,0.0,0.0,0.0,1.1114337,4.1781378,4.1781378,0.0,0.0,0.4923253364294718,4.178137767281058,0.0,0.0,4.1910436,3.7719393,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.12365172,0.0,0.0,0.0
2012-01-02 10:00:00,0.21336749,3.8567162,0.0,0.094086697,0.2509494,0.2509494,0.0,0.0,0.0,0.0,1.1114337,3.8772431,3.8772431,0.0,0.0,0.4643168913039192,3.877243072106496,0.0,0.0,3.8567162,3.4710446,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.2509494,0.0,0.0,0.0
2012-01-02 11:00:00,0.0,3.0396177,0.0,0.0,0.672679,0.672679,0.17988508,0.17988508,0.0,0.0,1.1114337,3.3625974,3.3625974,0.33410888,0.33410888,0.47274739333172466,3.6967062550017586,0.0,0.0,3.0396177,2.7356559,0.094086697,0.31211179,0.40619849,0.085798378,0.13494458,0.22074296,0.672679,0.020046533,0.35169356,0.33410888
2012-01-02 12:00:00,0.0,2.6658552,0.0,0.0,0.80978519,0.80978519,0.24204064,0.24204064,0.0,0.0,1.1114337,3.2031516,3.2031516,0.44197268,0.44197268,0.5222516208788854,3.6451243072575483,0.018974561,0.018974561,2.6658552,2.3992697,0.094086697,0.31211179,0.40619849,0.14795395,0.23075496,0.37870891,0.80978519,0.026518361,0.4652344,0.44197268
2012-01-02 13:00:00,0.085397386,3.5307557,0.0,0.094086697,0.43466278,0.43466278,0.0,0.0,0.0,0.0,1.1114337,3.5838786,3.5838786,0.044051694,0.044051694,0.5174170675833193,3.6279303246761447,0.0,0.0,3.5307557,3.1776801,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.43466278,0.0026431017,0.046370205,0.044051694
2012-01-02 14:00:00,0.0,3.6943286,0.0,0.020171357,0.5347961,0.5347961,0.07391534,0.07391534,0.0,0.0,1.1114337,3.7310942,3.7310942,0.0,0.0,0.460880762515335,3.731094220164566,0.0,0.0,3.6943286,3.3248957,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.5347961,0.0,0.0,0.0
2012-01-02 15:00:00,0.41880816,3.8758206,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,3.8944371,3.8944371,0.0,0.0,0.4188081623481354,3.8944370546879,0.0,0.0,3.8758206,3.4882386,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.42036641,4.1241782,0.0,0.094086697,0.0,0.0,0.0,0.0,0.0,0.0,1.1114337,4.1179588,4.1179588,0.0,0.0,0.4203664067987724,4.117958828246145,0.0,0.0,4.1241782,3.7117603,0.094086697,0.31211179,0.40619849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
