ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
Residenz_JB_1_pv_source,source,0.0,0,1084.32,0,10.2,0.0,968.86,10.2,38,296832.54
Residenz_JB_1_solarthermal_source,source,0.0,0.0,0.0,0,0.0,0,0.0,0.0,156,0
Gartenhuette1_DN-65_f0-c0_exergy,dh,3667.22,0,3252.2,0,12.97,0.0,1921.37,506.3,506.3,6953246.63
Residenz1_DN-65_f1-c1_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,506.3,0
central_heat_input_1_bus_DN-80_p0-f6_exergy,dh,4221.17,0,3790.3,0,13.59,0.0,2158.64,851.92,851.92,14584476.34
Norden_DN-80_f2-f0_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Norden_DN-80_f0-f2_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Norden_DN-80_f0-f6_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Norden_DN-80_f6-f0_exergy,dh,3790.3,0,3667.22,0,13.45,0.0,616.65,851.92,851.92,4166293.01
Norden_DN-80_f6-f3_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Norden_DN-80_f3-f6_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Sueden_DN-80_f3-f1_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Sueden_DN-80_f1-f3_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Sueden_DN-80_f1-f4_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
Sueden_DN-80_f4-f1_exergy,dh,0.0,0,0.0,0,0.0,0,0.0,0.0,851.92,0
dh_heat_house_station_Gartenhuette,transformer,3252.2,0,3252.2,0,12.97,0.0,1102.11,12.97,23976,0.0
dh_heat_house_station_Residenz,transformer,0.0,0,0.0,0,0.0,0,0.0,0.0,19980,0
central_heat_input_1_bus_dh_source_link_exergy,transformer,4221.17,0,4221.17,0,14.09,0.0,0,0,,0.0
