date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_ASHP_transformer_input1,01_ASHP_transformer_input2,01_ASHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 00:00:00,0.23297752,0.0,0.0,0.3598282,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,1.5534786,1.5534786,0.0,0.0,0.23297752286319187,1.5534785740157577,0.0,0.0,0.0,0.0,0.3598282,1.1936504,1.5534786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 01:00:00,0.17240576,0.0,0.0,0.38197147,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,1.6490773,1.6490773,0.0,0.0,0.1724057642179168,1.6490772554936506,0.0,0.0,0.0,0.0,0.38197147,1.2671058,1.6490773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 02:00:00,0.15802197,0.0,0.0,0.39857892,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,1.7207763,1.7207763,0.0,0.0,0.15802196928895967,1.72077626660207,0.0,0.0,0.0,0.0,0.39857892,1.3221973,1.7207763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 03:00:00,0.15386665,0.067730059,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,1.9757061,1.9757061,0.0,0.0,0.1538666507539276,1.9757060838764509,0.0,0.0,0.067730059,0.060957053,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 04:00:00,0.15634386,0.77586844,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,2.6130306,2.6130306,0.0,0.0,0.15634385988058136,2.6130306270624026,0.0,0.0,0.77586844,0.6982816,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 05:00:00,0.18714915,2.16559,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.86378,3.86378,0.0,0.0,0.18714915402009788,3.8637800430648337,0.0,0.0,2.16559,1.949031,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 06:00:00,0.35995447,3.3605735,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,4.9392652,4.9392652,0.0,0.0,0.3599544680971524,4.939265209691127,0.0,0.0,3.3605735,3.0245162,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 07:00:00,0.51713738,2.9888009,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,4.6046698,4.6046698,0.0,0.0,0.5171373826819229,4.604669824518503,0.0,0.0,2.9888009,2.6899208,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 08:00:00,0.53339906,2.5373627,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,4.1983754,4.1983754,0.0,0.0,0.5333990619488272,4.198375428237458,0.0,0.0,2.5373627,2.2836264,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 09:00:00,0.49232534,2.1744417,0.0,0.44350833,0.0,0.0,0.0,0.0,1.2449119,0.0,0.0,3.8717466,3.8717466,0.0,0.0,0.4923253364294718,3.8717465998546574,0.0,0.0,2.1744417,1.9569976,0.44350833,1.4712407,1.914749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
