date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 15:00:00,0.41880816,0.99901648,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,3.6088502,3.6088502,0.4188081623481354,3.6088502257904524,0.0,0.0,0.0,0.0,0.99901648,0.89911483,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 16:00:00,0.42036641,1.2291615,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,3.8159807,3.8159807,0.4203664067987724,3.815980702325887,0.0,0.0,0.0,0.0,1.2291615,1.1062453,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 17:00:00,0.5141008,1.5035651,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.062944,4.062944,0.5141008037524765,4.062943962810443,0.0,0.0,0.0,0.0,1.5035651,1.3532086,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0.66401191,1.6186376,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.1665092,4.1665092,0.6640119109009408,4.166509201078161,0.0,0.0,0.0,0.0,1.6186376,1.4567738,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.74747788,1.6540445,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.1983754,4.1983754,0.747477876474806,4.198375428237458,0.0,0.0,0.0,0.0,1.6540445,1.48864,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.67220268,1.441603,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.0071781,4.0071781,0.6722026830132636,4.007178065281672,0.0,0.0,0.0,0.0,1.441603,1.2974427,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.56324544,0.86624053,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,3.4893519,3.4893519,0.5632454364264132,3.489351873943087,0.0,0.0,0.0,0.0,0.86624053,0.77961648,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.46615482,0.0,0.0,0.55173657,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,2.3820005,2.3820005,0.4661548206559526,2.382000480157495,0.0,0.0,0.0,0.0,0.0,0.0,0.55173657,1.8302639,2.3820005,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.34517112,0.0,0.0,0.40226947,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,1.7367094,1.7367094,0.3451711233090575,1.7367093801817188,0.0,0.0,0.0,0.0,0.0,0.0,0.40226947,1.3344399,1.7367094,0.0,0.0,0.0,0.0
2012-01-02 00:00:00,0.23297752,0.0,0.0,0.38830325,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,1.6764133,1.6764133,0.23297752286319187,1.6764133016868443,0.0,0.0,0.0,0.0,0.0,0.0,0.38830325,1.2881101,1.6764133,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.17240576,0.0,0.0,0.41219883,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,1.7795772,1.7795772,0.1724057642179168,1.7795771971752654,0.0,0.0,0.0,0.0,0.0,0.0,0.41219883,1.3673784,1.7795772,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.15802197,0.0,0.0,0.43012052,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,1.8569501,1.8569501,0.15802196928895967,1.8569501187915813,0.0,0.0,0.0,0.0,0.0,0.0,0.43012052,1.4268296,1.8569501,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.15386665,0.0,0.0,0.49384208,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,2.1320538,2.1320538,0.1538666507539276,2.1320538400940374,0.0,0.0,0.0,0.0,0.0,0.0,0.49384208,1.6382118,2.1320538,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.15634386,0.12230861,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,2.8198131,2.8198131,0.15634385988058136,2.819813143350179,0.0,0.0,0.0,0.0,0.12230861,0.11007775,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.18714915,1.622006,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.1695408,4.1695408,0.18714915402009788,4.169540775990356,0.0,0.0,0.0,0.0,1.622006,1.4598054,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.35995447,2.9115547,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,5.3301346,5.3301346,0.3599544680971524,5.330134600235094,0.0,0.0,0.0,0.0,2.9115547,2.6203992,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.51713738,2.5103617,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.969061,4.969061,0.5171373826819229,4.96906096602562,0.0,0.0,0.0,0.0,2.5103617,2.2593256,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 08:00:00,0.53339906,2.0231989,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.5306144,4.5306144,0.5333990619488272,4.5306144101998305,0.0,0.0,0.0,0.0,2.0231989,1.820879,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.36867362,1.6315582,0.0,0.62764895,0.0,0.0,1.0602473,0.12365172,0.12365172,0.0,0.0,4.1781378,4.1781378,0.4923253364294718,4.178137767281058,0.0,0.0,0.0,0.0,1.6315582,1.4684024,0.62764895,2.0820864,2.7097354,0.12365172,0.0,0.0,0.0
2012-01-02 10:00:00,0.21336749,1.2972308,0.0,0.62764895,0.0,0.0,1.0602473,0.2509494,0.2509494,0.0,0.0,3.8772431,3.8772431,0.4643168913039192,3.877243072106496,0.0,0.0,0.0,0.0,1.2972308,1.1675077,0.62764895,2.0820864,2.7097354,0.2509494,0.0,0.0,0.0
2012-01-02 11:00:00,0.0,0.86043582,0.0,0.44047206,5.8870162e-15,0.0,1.0602473,0.672679,0.672679,0.18717689,0.18717689,3.4841276,3.4841276,0.47274739333172466,3.6967062550017586,0.21257862,0.21257862,0.0,0.0,0.86043582,0.77439224,0.62764895,2.0820864,2.7097354,0.672679,0.012754717,0.22376697,0.21257862
2012-01-02 12:00:00,0.0,0.72686817,0.0,0.35698784,0.0,0.0,1.0602473,0.80978519,0.80978519,0.27066111,0.27066111,3.3639167,3.3639167,0.5222516208788854,3.6451243072575483,0.28120756,0.28120756,0.0,0.0,0.72686817,0.65418135,0.62764895,2.0820864,2.7097354,0.80978519,0.016872454,0.29600796,0.28120756
2012-01-02 13:00:00,0.084435972,0.98907422,0.0,0.62764895,0.0,0.0,1.0602473,0.43466278,0.43466278,0.0,0.0,3.5999022,3.5999022,0.5174170675833193,3.6279303246761447,0.028028134,0.028028134,0.0,0.0,0.98907422,0.8901668,0.62764895,2.0820864,2.7097354,0.43466278,0.001681688,0.029503299,0.028028134
2012-01-02 14:00:00,0.0,1.1348431,0.0,0.55373361,0.0,0.0,1.0602473,0.5347961,0.5347961,0.07391534,0.07391534,3.7310942,3.7310942,0.460880762515335,3.731094220164566,0.0,0.0,0.0,0.0,1.1348431,1.0213588,0.62764895,2.0820864,2.7097354,0.5347961,0.0,0.0,0.0
2012-01-02 15:00:00,0.41880816,1.3163352,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,3.8944371,3.8944371,0.4188081623481354,3.8944370546879,0.0,0.0,0.0,0.0,1.3163352,1.1847017,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.42036641,1.5646927,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.1179588,4.1179588,0.4203664067987724,4.117958828246145,0.0,0.0,0.0,0.0,1.5646927,1.4082234,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 17:00:00,0.5141008,1.8608113,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.3844656,4.3844656,0.5141008037524765,4.3844655582579,0.0,0.0,0.0,0.0,1.8608113,1.6747302,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 18:00:00,0.66401191,1.9849901,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.4962264,4.4962264,0.6640119109009408,4.496226445037023,0.0,0.0,0.0,0.0,1.9849901,1.7864911,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 19:00:00,0.74747788,2.0231989,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.5306144,4.5306144,0.747477876474806,4.5306144101998305,0.0,0.0,0.0,0.0,2.0231989,1.820879,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 20:00:00,0.67220268,1.7939458,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,4.3242866,4.3242866,0.6722026830132636,4.324286619222987,0.0,0.0,0.0,0.0,1.7939458,1.6145512,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 21:00:00,0.56324544,1.173052,0.0,0.62764895,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,3.7654822,3.7654822,0.5632454364264132,3.765482185327373,0.0,0.0,0.0,0.0,1.173052,1.0557468,0.62764895,2.0820864,2.7097354,0.0,0.0,0.0,0.0
2012-01-02 22:00:00,0.46615482,0.0,0.0,0.59539831,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,2.5705004,2.5705004,0.4661548206559526,2.5705003959198276,0.0,0.0,0.0,0.0,0.0,0.0,0.59539831,1.9751021,2.5705004,0.0,0.0,0.0,0.0
2012-01-02 23:00:00,0.34517112,0.0,0.0,0.43410312,0.0,0.0,1.0602473,0.0,0.0,0.0,0.0,1.8741441,1.8741441,0.3451711233090575,1.874144101372985,0.0,0.0,0.0,0.0,0.0,0.0,0.43410312,1.440041,1.8741441,0.0,0.0,0.0,0.0
