date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 17:00:00,0.5141008,4.5143822,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.062944,4.062944,0.0,0.0,0.5141008037524765,4.062943962810443,4.5143822,4.062944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0.66401191,4.6294547,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.1665092,4.1665092,0.0,0.0,0.6640119109009408,4.166509201078161,4.6294547,4.1665092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.74747788,4.6648616,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.1983754,4.1983754,0.0,0.0,0.747477876474806,4.198375428237458,4.6648616,4.1983754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.67220268,4.4524201,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.0071781,4.0071781,0.0,0.0,0.6722026830132636,4.007178065281672,4.4524201,4.0071781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.56324544,3.8770576,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,3.4893519,3.4893519,0.0,0.0,0.5632454364264132,3.489351873943087,3.8770576,3.4893519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.46615482,2.6466672,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,2.3820005,2.3820005,0.0,0.0,0.4661548206559526,2.382000480157495,2.6466672,2.3820005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.34517112,1.9296771,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,1.7367094,1.7367094,0.0,0.0,0.3451711233090575,1.7367093801817188,1.9296771,1.7367094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 00:00:00,0.23297752,1.8626814,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,1.6764133,1.6764133,0.0,0.0,0.23297752286319187,1.6764133016868443,1.8626814,1.6764133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.17240576,1.977308,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,1.7795772,1.7795772,0.0,0.0,0.1724057642179168,1.7795771971752654,1.977308,1.7795772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.15802197,2.0632779,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,1.8569501,1.8569501,0.0,0.0,0.15802196928895967,1.8569501187915813,2.0632779,1.8569501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.15386665,2.3689487,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,2.1320538,2.1320538,0.0,0.0,0.1538666507539276,2.1320538400940374,2.3689487,2.1320538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.15634386,3.1331257,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,2.8198131,2.8198131,0.0,0.0,0.15634385988058136,2.819813143350179,3.1331257,2.8198131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.18714915,4.6328231,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.1695408,4.1695408,0.0,0.0,0.18714915402009788,4.169540775990356,4.6328231,4.1695408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.35995447,5.9223718,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,5.3301346,5.3301346,0.0,0.0,0.3599544680971524,5.330134600235094,5.9223718,5.3301346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.51713738,5.5211789,0.0,0.0,0.0,0.0,0.0,1.2119243,-0.0,0.0,4.969061,4.969061,0.0,0.0,0.5171373826819229,4.96906096602562,5.5211789,4.969061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
