date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_electricity_sink_input1,01_heat_sink_input1,01_thermal_storage_capacity,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_ASHP_transformer_input1,01_ASHP_transformer_input2,01_ASHP_transformer_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_photovoltaic_electricity_source_output1
2012-01-01 19:00:00,0.74747788,1.4781597,0.0,0.78229562,0.747477876474806,4.198375428237458,0.0,0.0,0.0,1.4781597,1.3303437,0.45300492,1.5027435,1.9557485,0.3292907,0.58299251,0.91228322,0.0,0.0,-0.0,0.0,4.1983754,4.1983754,0.0
2012-01-01 20:00:00,0.67220268,1.2657182,0.0,0.7811729,0.6722026830132636,4.007178065281672,0.0,0.0,0.0,1.2657182,1.1391464,0.45300492,1.5027435,1.9557485,0.32816798,0.58411524,0.91228322,0.0,0.0,-0.0,0.0,4.0071781,4.0071781,0.0
2012-01-01 21:00:00,0.56324544,0.69035577,0.0,0.78005017,0.5632454364264132,3.489351873943087,0.0,0.0,0.0,0.69035577,0.62132019,0.45300492,1.5027435,1.9557485,0.32704525,0.58523797,0.91228322,0.0,0.0,-0.0,0.0,3.4893519,3.4893519,0.0
2012-01-01 22:00:00,0.46615482,0.0,0.0,0.60535339,0.4661548206559526,2.382000480157495,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.15234847,0.27390354,0.42625202,0.0,0.0,-0.0,0.0,2.3820005,2.3820005,0.0
2012-01-01 23:00:00,0.34517112,0.0,0.0,0.40226947,0.3451711233090575,1.7367093801817188,0.0,0.0,0.0,0.0,0.0,0.40226947,1.3344399,1.7367094,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.7367094,1.7367094,0.0
2012-01-02 00:00:00,0.23297752,0.0,0.0,0.46144244,0.23297752286319187,1.9768839373250944,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.0084375159,0.012697957,0.021135473,0.0,0.0,-0.0,0.0,1.9768839,1.9768839,0.0
2012-01-02 01:00:00,0.17240576,0.0,0.0,0.51019079,0.1724057642179168,2.098538333468177,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.057185864,0.085604005,0.14278987,0.0,0.0,-0.0,0.0,2.0985383,2.0985383,0.0
2012-01-02 02:00:00,0.15802197,0.0,0.0,0.54684374,0.15802196928895967,2.1897791305754897,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.093838816,0.14019185,0.23403067,0.0,0.0,-0.0,0.0,2.1897791,2.1897791,0.0
2012-01-02 03:00:00,0.15386665,0.0,0.0,0.67692247,0.1538666507539276,2.5141908536237096,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.22391755,0.33452484,0.55844239,0.0,0.0,-0.0,0.0,2.5141909,2.5141909,0.0
2012-01-02 04:00:00,0.15634386,0.5079872,0.0,0.81953298,0.15634385988058136,3.3252201612442613,0.0,0.0,0.0,0.5079872,0.45718848,0.45300492,1.5027435,1.9557485,0.36652806,0.54575516,0.91228322,0.0,0.0,-0.0,0.0,3.3252202,3.3252202,0.0
2012-01-02 05:00:00,0.18714915,2.2764817,0.0,0.82069935,0.18714915402009788,4.916865177449594,0.0,0.0,0.0,2.2764817,2.0488335,0.45300492,1.5027435,1.9557485,0.36769443,0.54458879,0.91228322,0.0,0.0,-0.0,0.0,4.9168652,4.9168652,0.0
2012-01-02 06:00:00,0.78574485,3.3240612,0.0,0.82113578,0.3599544680971524,6.285477134059275,0.0,0.42579039,0.42579039,3.3240612,2.9916551,0.45300492,1.5027435,1.9557485,0.36813085,0.54415236,0.91228322,0.0,0.0,-0.0,0.0,6.2854771,6.2854771,0.0
2012-01-02 07:00:00,0.51713738,3.3240612,0.0,0.8204084,0.5171373826819229,5.859686747558484,0.0,0.0,0.0,3.3240612,2.9916551,0.45300492,1.5027435,1.9557485,0.36740348,0.54487974,0.91228322,0.0,0.0,-0.0,0.0,5.8596867,5.8596867,0.0
2012-01-02 08:00:00,0.53339906,2.7495821,0.0,0.81807481,0.5333990619488272,5.342655563950383,0.0,0.0,0.0,2.7495821,2.4746239,0.45300492,1.5027435,1.9557485,0.36506989,0.54721333,0.91228322,0.0,0.0,-0.0,0.0,5.3426556,5.3426556,0.0
2012-01-02 09:00:00,0.0,2.287746,0.0,0.48266176,0.4923253364294718,4.92700304379485,0.0,0.0,0.0,2.287746,2.0589714,0.45300492,1.5027435,1.9557485,0.35835749,0.55392572,0.91228322,0.82102599,0.82102599,0.32870066,0.32870066,4.927003,4.927003,0.82102599
2012-01-02 10:00:00,0.0,1.8268614,0.0,0.0,0.4643168913039192,4.572177721710859,0.0,0.059970767,0.059970767,1.8268614,1.6441753,0.45300492,1.5027435,1.9557485,0.34785419,0.56442903,0.91228322,1.3251468,1.3251468,0.80085911,0.80085911,4.5721777,4.5721777,1.3251468
2012-01-02 11:00:00,0.0,1.6538625,0.0,0.0,0.47274739333172466,4.359282528460464,0.0,0.0027746067,0.0027746067,1.6538625,1.4884762,0.45300492,1.5027435,1.9557485,0.33749636,0.57478686,0.91228322,1.2660233,1.2660233,0.79050128,0.79050128,4.3592825,4.3592825,1.2660233
2012-01-02 12:00:00,0.0,1.5893596,0.0,0.75078934,0.5222516208788854,4.298455330388924,0.0,0.0,0.0,1.5893596,1.4304236,0.45300492,1.5027435,1.9557485,0.33166195,0.58062127,0.91228322,0.55612915,0.55612915,0.03387753,0.03387753,4.2984553,4.2984553,0.55612915
2012-01-02 13:00:00,0.34176199,1.566831,0.0,0.78408326,0.5174170675833193,4.27817959769841,0.0,0.0,0.0,1.566831,1.4101479,0.45300492,1.5027435,1.9557485,0.33107833,0.58120488,0.91228322,0.17565508,0.17565508,-0.0,0.0,4.2781796,4.2781796,0.17565508
2012-01-02 14:00:00,0.33838559,1.7020026,0.0,0.78627137,0.460880762515335,4.399833993841492,0.0,0.0,0.0,1.7020026,1.5318023,0.45300492,1.5027435,1.9557485,0.33326645,0.57901676,0.91228322,0.12249517,0.12249517,-0.0,0.0,4.399834,4.399834,0.12249517
2012-01-02 15:00:00,0.41880816,1.9160242,0.0,0.78816683,0.4188081623481354,4.592453454401373,0.0,0.0,0.0,1.9160242,1.7244218,0.45300492,1.5027435,1.9557485,0.33516191,0.57712131,0.91228322,0.0,0.0,-0.0,0.0,4.5924535,4.5924535,0.0
2012-01-02 16:00:00,0.42036641,2.2088959,0.0,0.79152132,0.4203664067987724,4.856037979378052,0.0,0.0,0.0,2.2088959,1.9880063,0.45300492,1.5027435,1.9557485,0.33851639,0.57376682,0.91228322,0.0,0.0,-0.0,0.0,4.856038,4.856038,0.0
2012-01-02 17:00:00,0.5141008,2.5580891,0.0,0.79721453,0.5141008037524765,5.170311836081016,0.0,0.0,0.0,2.5580891,2.3022802,0.45300492,1.5027435,1.9557485,0.34420961,0.56807361,0.91228322,0.0,0.0,-0.0,0.0,5.1703118,5.1703118,0.0
2012-01-02 18:00:00,0.66401191,2.7045249,0.0,0.80100629,0.6640119109009408,5.302104098569355,0.0,0.0,0.0,2.7045249,2.4340724,0.45300492,1.5027435,1.9557485,0.34800137,0.56428184,0.91228322,0.0,0.0,-0.0,0.0,5.3021041,5.3021041,0.0
2012-01-02 19:00:00,0.74747788,2.7495821,0.0,0.80333989,0.747477876474806,5.342655563950383,0.0,0.0,0.0,2.7495821,2.4746239,0.45300492,1.5027435,1.9557485,0.35033497,0.56194825,0.91228322,0.0,0.0,-0.0,0.0,5.3426556,5.3426556,0.0
2012-01-02 20:00:00,0.67220268,2.479239,0.0,0.8058181,0.6722026830132636,5.099346771664218,0.0,0.0,0.0,2.479239,2.2313151,0.45300492,1.5027435,1.9557485,0.35281318,0.55947004,0.91228322,0.0,0.0,-0.0,0.0,5.0993468,5.0993468,0.0
2012-01-02 21:00:00,0.56324544,1.7470598,0.0,0.80829973,0.5632454364264132,4.44038545922252,0.0,0.0,0.0,1.7470598,1.5723538,0.45300492,1.5027435,1.9557485,0.35529481,0.5569884,0.91228322,0.0,0.0,-0.0,0.0,4.4403855,4.4403855,0.0
2012-01-02 22:00:00,0.46615482,0.18132262,0.0,0.80829973,0.4661548206559526,3.0312220372318115,0.0,0.0,0.0,0.18132262,0.16319036,0.45300492,1.5027435,1.9557485,0.35529481,0.5569884,0.91228322,0.0,0.0,-0.0,0.0,3.031222,3.031222,0.0
2012-01-02 23:00:00,0.34517112,0.0,0.0,0.55228981,0.3451711233090575,2.210054863266003,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.099284884,0.15502151,0.2543064,0.0,0.0,-0.0,0.0,2.2100549,2.2100549,0.0
2012-01-03 00:00:00,0.29426847,0.0,0.0,0.073235796,0.2942684712549148,0.3161793351269989,0.0,0.0,0.0,0.0,0.0,0.073235796,0.24294354,0.31617934,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.31617934,0.31617934,0.0
2012-01-03 01:00:00,0.21911314,0.0,0.0,0.078520853,0.21911314275111374,0.33899640054853486,0.0,0.0,0.0,0.0,0.0,0.078520853,0.26047555,0.3389964,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.3389964,0.3389964,0.0
2012-01-03 02:00:00,0.19889592,0.0,0.0,0.083805911,0.19889591987874622,0.3618134659700709,0.0,0.0,0.0,0.0,0.0,0.083805911,0.27800756,0.36181347,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.36181347,0.36181347,0.0
2012-01-03 03:00:00,0.18722906,0.0,0.0,0.12155632,0.1872290639919254,0.524792504695328,0.0,0.0,0.0,0.0,0.0,0.12155632,0.40323618,0.5247925,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5247925,0.5247925,0.0
2012-01-03 04:00:00,0.19490042,0.0,0.0,0.21970739,0.1949004212873692,0.9485380053809968,0.0,0.0,0.0,0.0,0.0,0.21970739,0.72883062,0.94853801,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.94853801,0.94853801,0.0
2012-01-03 05:00:00,0.23677325,0.0,0.0,0.52478405,0.23677324652499998,2.16762121504592,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.071779128,0.14009362,0.21187275,0.0,0.0,-0.0,0.0,2.1676212,2.1676212,0.0
2012-01-03 06:00:00,0.39115931,0.0,0.0,0.70128797,0.3911593120958066,2.698932881290258,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.24828305,0.49490137,0.74318442,0.0,0.0,-0.0,0.0,2.6989329,2.6989329,0.0
2012-01-03 07:00:00,0.51825612,0.0,0.0,0.61874767,0.5182561222875085,2.454464323202373,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.16574275,0.33297311,0.49871586,0.0,0.0,-0.0,0.0,2.4544643,2.4544643,0.0
2012-01-03 08:00:00,0.56592242,0.0,0.0,0.46061969,0.5659224204826359,1.9785655301246219,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.0076147632,0.015202302,0.022817065,0.0,0.0,-0.0,0.0,1.9785655,1.9785655,0.0
2012-01-03 09:00:00,0.20808616,0.0,0.0,0.45300492,0.575631482059682,1.9557484647030858,0.0,0.0,0.0,0.0,0.0,0.45300492,1.5027435,1.9557485,0.0,0.0,0.0,0.36754533,0.36754533,-0.0,0.0,1.9557485,1.9557485,0.36754533
2012-01-03 10:00:00,0.0,0.0,0.0,0.19664162,0.5563332238633311,1.6591266142231178,0.0,0.0,0.0,0.0,0.0,0.38429918,1.2748274,1.6591266,0.0,0.0,0.0,0.74399078,0.74399078,0.18765756,0.18765756,1.6591266,1.6591266,0.74399078
2012-01-03 11:00:00,0.0,0.0,0.25543561,0.0,0.5672009800318766,1.5711179333114789,0.0,0.0,0.0,0.0,0.0,0.36391395,1.207204,1.5711179,0.0,0.0,0.0,0.93111493,0.93111493,0.36391395,0.36391395,1.5711179,1.5711179,1.1865505
2012-01-03 12:00:00,0.0,0.0,0.13229406,0.0,0.6306095426770292,1.4407347023312733,0.0,0.0,0.0,0.0,0.0,0.33371363,1.1070211,1.4407347,0.0,0.0,0.0,0.96432317,0.96432317,0.33371363,0.33371363,1.4407347,1.4407347,1.0966172
2012-01-03 13:00:00,0.0,0.0,0.77032055,0.0,0.6100726799173515,1.2907939867040368,0.0,0.0,0.0,0.0,0.0,0.29898325,0.99181074,1.290794,0.0,0.0,0.0,0.90905593,0.90905593,0.29898325,0.29898325,1.290794,1.290794,1.6793765
2012-01-03 14:00:00,0.0,0.0,0.87838298,0.0,0.5264868493857451,1.2288619519884387,0.0,0.0,0.0,0.0,0.0,0.28463809,0.94422386,1.228862,0.0,0.0,0.0,0.81112494,0.81112494,0.28463809,0.28463809,1.228862,1.228862,1.6895079
2012-01-03 15:00:00,0.47462528,0.0,0.0,0.27029294,0.4746252776696718,1.1669299172728413,0.0,0.0,0.0,0.0,0.0,0.27029294,0.89663698,1.1669299,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.1669299,1.1669299,0.0
2012-01-03 16:00:00,0.45864328,0.0,0.0,0.30124827,0.4586432833041639,1.3005727290275522,0.0,0.0,0.0,0.0,0.0,0.30124827,0.99932446,1.3005727,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.3005727,1.3005727,0.0
2012-01-03 17:00:00,0.48940862,0.0,0.0,0.3223885,0.4894086224577666,1.3918409907136962,0.0,0.0,0.0,0.0,0.0,0.3223885,1.0694525,1.391841,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.391841,1.391841,0.0
2012-01-03 18:00:00,0.56804003,0.0,0.0,0.34579376,0.5680400347360656,1.4928879947233555,0.0,0.0,0.0,0.0,0.0,0.34579376,1.1470942,1.492888,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.492888,1.492888,0.0
2012-01-03 19:00:00,0.6599365,0.0,0.0,0.38882922,0.6599365023377363,1.6786840988701486,0.0,0.0,0.0,0.0,0.0,0.38882922,1.2898549,1.6786841,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.6786841,1.6786841,0.0
2012-01-03 20:00:00,0.66557016,0.0,0.0,0.39260427,0.6655701553515778,1.6949820027426743,0.0,0.0,0.0,0.0,0.0,0.39260427,1.3023777,1.694982,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.694982,1.694982,0.0
2012-01-03 21:00:00,0.6294908,0.0,0.0,0.33371363,0.6294908030714437,1.4407347023312733,0.0,0.0,0.0,0.0,0.0,0.33371363,1.1070211,1.4407347,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.4407347,1.4407347,0.0
2012-01-03 22:00:00,0.5773895,0.0,0.0,0.23178752,0.5773895014398879,1.0006912977730789,0.0,0.0,0.0,0.0,0.0,0.23178752,0.76890378,1.0006913,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0006913,1.0006913,0.0
2012-01-03 23:00:00,0.44781548,0.0,0.0,0.11174121,0.44781548212153227,0.48241795462676124,0.0,0.0,0.0,0.0,0.0,0.11174121,0.37067674,0.48241795,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.48241795,0.48241795,0.0
2012-01-04 00:00:00,0.29426847,0.0,0.0,0.047261902,0.2942684712549148,0.2040428000043685,0.0,0.0,0.0,0.0,0.0,0.047261902,0.1567809,0.2040428,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.2040428,0.2040428,0.0
2012-01-04 01:00:00,0.21911314,0.0,0.0,0.050672555,0.21911314275111374,0.21876753814901362,0.0,0.0,0.0,0.0,0.0,0.050672555,0.16809498,0.21876754,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.21876754,0.21876754,0.0
2012-01-04 02:00:00,0.19889592,0.0,0.0,0.054083208,0.19889591987874622,0.23349227629365876,0.0,0.0,0.0,0.0,0.0,0.054083208,0.17940907,0.23349228,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.23349228,0.23349228,0.0
2012-01-04 03:00:00,0.18722906,0.0,0.0,0.078445013,0.1872290639919254,0.33866897732683837,0.0,0.0,0.0,0.0,0.0,0.078445013,0.26022396,0.33866898,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.33866898,0.33866898,0.0
2012-01-04 04:00:00,0.19490042,0.0,0.0,0.14178571,0.1949004212873692,0.6121284000131054,0.0,0.0,0.0,0.0,0.0,0.14178571,0.47034269,0.6121284,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6121284,0.6121284,0.0
2012-01-04 05:00:00,0.23677325,0.0,0.0,0.32401201,0.23677324652499998,1.3988501237412891,0.0,0.0,0.0,0.0,0.0,0.32401201,1.0748381,1.3988501,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.3988501,1.3988501,0.0
2012-01-04 06:00:00,0.39115931,0.0,0.0,0.4034315,0.3911593120958066,1.7417261691094545,0.0,0.0,0.0,0.0,0.0,0.4034315,1.3382947,1.7417262,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.7417262,1.7417262,0.0
2012-01-04 07:00:00,0.51825612,0.0,0.0,0.36688879,0.5182561222875085,1.5839611175596853,0.0,0.0,0.0,0.0,0.0,0.36688879,1.2170723,1.5839611,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.5839611,1.5839611,0.0
2012-01-04 08:00:00,0.56592242,0.0,0.0,0.29575232,0.5659224204826359,1.2768451505428005,0.0,0.0,0.0,0.0,0.0,0.29575232,0.98109283,1.2768452,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.2768452,1.2768452,0.0
2012-01-04 09:00:00,0.0,0.0,0.91980914,0.0,0.575631482059682,1.2621204123981555,0.0,0.0,0.0,0.0,0.0,0.29234166,0.96977875,1.2621204,0.0,0.0,0.0,0.86797315,0.86797315,0.29234166,0.29234166,1.2621204,1.2621204,1.7877823
2012-01-04 10:00:00,0.0,0.0,1.0220674,0.0,0.5563332238633311,1.0706988165177687,0.0,0.0,0.0,0.0,0.0,0.24800318,0.82269564,1.0706988,0.0,0.0,0.0,0.8043364,0.8043364,0.24800318,0.24800318,1.0706988,1.0706988,1.8264038
2012-01-04 11:00:00,0.0,0.0,1.0014521,0.0,0.5672009800318766,1.0139033979598515,0.0,0.0,0.0,0.0,0.0,0.2348478,0.7790556,1.0139034,0.0,0.0,0.0,0.80204878,0.80204878,0.2348478,0.2348478,1.0139034,1.0139034,1.8035008
2012-01-04 12:00:00,0.0,0.0,0.91859441,0.0,0.6306095426770292,0.9297620371333081,0.0,0.0,0.0,0.0,0.0,0.21535836,0.71440368,0.92976204,0.0,0.0,0.0,0.8459679,0.8459679,0.21535836,0.21535836,0.92976204,0.92976204,1.7645623
2012-01-04 13:00:00,0.0,0.0,0.8189071,0.0,0.6100726799173515,0.8329994721827828,0.0,0.0,0.0,0.0,0.0,0.1929455,0.64005397,0.83299947,0.0,0.0,0.0,0.80301818,0.80301818,0.1929455,0.1929455,0.83299947,0.83299947,1.6219253
2012-01-04 14:00:00,0.0,0.0,0.94180167,0.0,0.5264868493857451,0.7930323257901744,0.0,0.0,0.0,0.0,0.0,0.18368801,0.60934431,0.79303233,0.0,0.0,0.0,0.71017486,0.71017486,0.18368801,0.18368801,0.79303233,0.79303233,1.6519765
