product name,value to be included in the spreadsheet
Beacon: M4 PLUS 120V [CEC 2006],Beacon__M4_PLUS_120V__CEC_2006_
Beacon: M5 120V [CEC 2005],Beacon__M5_120V__CEC_2005_
Beacon: M5 PLUS 120V [CEC 2006],Beacon__M5_PLUS_120V__CEC_2006_
Beyond Building Systems PTY LTD: SR2000TL-US-240 (240 Vac) 240V [CEC 2011],Beyond_Building_Systems_PTY_LTD__SR2000TL_US_240__240_Vac__240V__CEC_2011_
Beyond Building Systems PTY LTD: SR3000TL-US-240 (240 Vac) 240V [CEC 2011],Beyond_Building_Systems_PTY_LTD__SR3000TL_US_240__240_Vac__240V__CEC_2011_
Beyond Building Systems PTY LTD: SR4200TL-US-240 (240 Vac) 240V [CEC 2011],Beyond_Building_Systems_PTY_LTD__SR4200TL_US_240__240_Vac__240V__CEC_2011_
Beyond Building Systems PTY LTD: SR5000TL-US-240 (240 Vac) 240V [CEC 2011],Beyond_Building_Systems_PTY_LTD__SR5000TL_US_240__240_Vac__240V__CEC_2011_
CMF Equipment (Original Mfg - PV Powered): Green Power 1100 120V [CEC 2008],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_1100_120V__CEC_2008_
CMF Equipment (Original Mfg - PV Powered): Green Power 2000 240V [CEC 2008],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_2000_240V__CEC_2008_
CMF Equipment (Original Mfg - PV Powered): Green Power 2500 240V [CEC 2006],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_2500_240V__CEC_2006_
CMF Equipment (Original Mfg - PV Powered): Green Power 3000 240V [CEC 2008],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_3000_240V__CEC_2008_
CMF Equipment (Original Mfg - PV Powered): Green Power 3500 240V [CEC 2006],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_3500_240V__CEC_2006_
CMF Equipment (Original Mfg - PV Powered): Green Power 4600 208V [CEC 2005],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_4600_208V__CEC_2005_
CMF Equipment (Original Mfg - PV Powered): Green Power 4800 240V [CEC 2006],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_4800_240V__CEC_2006_
CMF Equipment (Original Mfg - PV Powered): Green Power 5200 240V [CEC 2005],CMF_Equipment__Original_Mfg___PV_Powered___Green_Power_5200_240V__CEC_2005_
Connect Renewable Energy: CE4000 240V [CEC 2005],Connect_Renewable_Energy__CE4000_240V__CEC_2005_
Delta Energy Systems: SI 1800 US (208V) 208V [CEC 2009],Delta_Energy_Systems__SI_1800_US__208V__208V__CEC_2009_
Delta Energy Systems: SI 1800 US (240V) 240V [CEC 2009],Delta_Energy_Systems__SI_1800_US__240V__240V__CEC_2009_
Delta Energy Systems: SI 2500 US (208V) 208V [CEC 2009],Delta_Energy_Systems__SI_2500_US__208V__208V__CEC_2009_
Delta Energy Systems: SI 2500 US (240V) 240V [CEC 2009],Delta_Energy_Systems__SI_2500_US__240V__240V__CEC_2009_
Delta Energy Systems: SOLIVIA 2.5 TR NA G4 208V [CEC 2010],Delta_Energy_Systems__SOLIVIA_2_5_TR_NA_G4_208V__CEC_2010_
Delta Energy Systems: SOLIVIA 2.5 TR NA G4 240V [CEC 2010],Delta_Energy_Systems__SOLIVIA_2_5_TR_NA_G4_240V__CEC_2010_
