product name,value to be included in the spreadsheet
Advent Solar AS160 [ 2006],Advent_Solar_AS160___2006_
Advent Solar Ventura 210 [ 2008],Advent_Solar_Ventura_210___2008_
Advent Solar Ventura 215 [ 2009],Advent_Solar_Ventura_215___2009_
Aleo S03 160 [2007 (E)],Aleo_S03_160__2007_(E)_
Aleo S03 165 [2007 (E)],Aleo_S03_165__2007_(E)_
Aleo S16 165 [2007 (E)],Aleo_S16_165__2007_(E)_
Aleo S16 170 [2007 (E)],Aleo_S16_170__2007_(E)_
Aleo S16 175 [2007 (E)],Aleo_S16_175__2007_(E)_
Aleo S16 180 [2007 (E)],Aleo_S16_180__2007_(E)_
Aleo S16 185 [2007 (E)],Aleo_S16_185__2007_(E)_
AstroPower AP-100 [ 2001],AstroPower_AP-100___2001_
AstroPower AP-100 [2000 (E)],AstroPower_AP-100__2000_(E)_
AstroPower AP-110 [ 2001],AstroPower_AP-110___2001_
AstroPower AP-110 [1999 (E)],AstroPower_AP-110__1999_(E)_
AstroPower AP-120 [ 2001],AstroPower_AP-120___2001_
AstroPower AP-120 [1999 (E)],AstroPower_AP-120__1999_(E)_
AstroPower AP-1206 [ 1998],AstroPower_AP-1206___1998_
AstroPower AP-130 [ 2001],AstroPower_AP-130___2001_
AstroPower AP-130 [2002 (E)],AstroPower_AP-130__2002_(E)_
AstroPower AP-50 [ 2001],AstroPower_AP-50___2001_
AstroPower AP-50 [2000 (E)],AstroPower_AP-50__2000_(E)_
AstroPower AP-65 [1999 (E)],AstroPower_AP-65__1999_(E)_
AstroPower AP-75 [ 2001],AstroPower_AP-75___2001_
AstroPower AP-75 [ 2003],AstroPower_AP-75___2003_
AstroPower AP-75 [2003 (E)],AstroPower_AP-75__2003_(E)_
AstroPower AP-8225 [ 1997],AstroPower_AP-8225___1997_
AstroPower APX-110-SL [ 2002],AstroPower_APX-110-SL___2002_
AstroPower APX-110-SL [2002 (E)],AstroPower_APX-110-SL__2002_(E)_
AstroPower APX-120 [ 2001],AstroPower_APX-120___2001_
AstroPower APX-120 [2002 (E)],AstroPower_APX-120__2002_(E)_
AstroPower APX-130 [ 2001],AstroPower_APX-130___2001_
AstroPower APX-130 [2002 (E)],AstroPower_APX-130__2002_(E)_
AstroPower APX-140 [2002 (E)],AstroPower_APX-140__2002_(E)_
AstroPower APX-40 [2002 (E)],AstroPower_APX-40__2002_(E)_
AstroPower APX-45 [ 2001],AstroPower_APX-45___2001_
