product name,value to be included in the spreadsheet
Aleo Solar S18y265,Aleo_Solar_S18y265
Aleo Solar S19Y270,Aleo_Solar_S19Y270
Aleo Solar S79y270,Aleo_Solar_S79y270
Aleo Solar P19Y275,Aleo_Solar_P19Y275
Aleo Solar S19y275,Aleo_Solar_S19y275
Aleo Solar S79y275,Aleo_Solar_S79y275
Aleo Solar S19y280,Aleo_Solar_S19y280
Aleo Solar S59y280,Aleo_Solar_S59y280
Aleo Solar S79y280,Aleo_Solar_S79y280
Aleo Solar P19Y285,Aleo_Solar_P19Y285
Aleo Solar S19y285,Aleo_Solar_S19y285
Aleo Solar S59y285,Aleo_Solar_S59y285
Aleo Solar S79y285,Aleo_Solar_S79y285
Aleo Solar P19Y290,Aleo_Solar_P19Y290
Aleo Solar S19y290,Aleo_Solar_S19y290
Aleo Solar S59y290,Aleo_Solar_S59y290
Aleo Solar S79Y290,Aleo_Solar_S79Y290
Aleo Solar P19Y295,Aleo_Solar_P19Y295
Aleo Solar S19Y295,Aleo_Solar_S19Y295
Aleo Solar S59Y295,Aleo_Solar_S59Y295
Aleo Solar S79Y295,Aleo_Solar_S79Y295
Aleo Solar P19Y300,Aleo_Solar_P19Y300
Aleo Solar S19Y300,Aleo_Solar_S19Y300
Aleo Solar S59Y300,Aleo_Solar_S59Y300
Aleo Solar S79Y300,Aleo_Solar_S79Y300
Aleo Solar P19Y305,Aleo_Solar_P19Y305
Aleo Solar S19Y305,Aleo_Solar_S19Y305
Aleo Solar S59Y305,Aleo_Solar_S59Y305
Aleo Solar S79Y305,Aleo_Solar_S79Y305
Aleo Solar P19Y310,Aleo_Solar_P19Y310
Aleo Solar S19Y310,Aleo_Solar_S19Y310
Aleo Solar S59Y310,Aleo_Solar_S59Y310
alfasolar alfasolar P6L60-220,alfasolar_alfasolar_P6L60_220
alfasolar alfasolar P6L60-225,alfasolar_alfasolar_P6L60_225
alfasolar alfasolar P6L60-230,alfasolar_alfasolar_P6L60_230
alfasolar alfasolar P6L60-235,alfasolar_alfasolar_P6L60_235
alfasolar alfasolar M6L60-240,alfasolar_alfasolar_M6L60_240
alfasolar alfasolar P6L60-240,alfasolar_alfasolar_P6L60_240
alfasolar alfasolar M6L60-245,alfasolar_alfasolar_M6L60_245
alfasolar alfasolar P6L60-245,alfasolar_alfasolar_P6L60_245
alfasolar alfasolar M6L60-250,alfasolar_alfasolar_M6L60_250
alfasolar alfasolar P6L60-250,alfasolar_alfasolar_P6L60_250
alfasolar alfasolar M6L60-255,alfasolar_alfasolar_M6L60_255
alfasolar alfasolar M6L60-260,alfasolar_alfasolar_M6L60_260
alfasolar alfasolar M6L60-265,alfasolar_alfasolar_M6L60_265
Alps Technology ATI-S572-175,Alps_Technology_ATI_S572_175
Alps Technology ATI-S572-180,Alps_Technology_ATI_S572_180
Alps Technology ATI-S572-185,Alps_Technology_ATI_S572_185
Alps Technology ATI-M660-220,Alps_Technology_ATI_M660_220
Alps Technology ATI-M660-225,Alps_Technology_ATI_M660_225
Alps Technology ATI-M660-230,Alps_Technology_ATI_M660_230
Alps Technology ATI-M660-235,Alps_Technology_ATI_M660_235
Alps Technology ATI-M660-240,Alps_Technology_ATI_M660_240
American Solar Wholesale ASW-175M,American_Solar_Wholesale_ASW_175M
American Solar Wholesale ASW-180M,American_Solar_Wholesale_ASW_180M
American Solar Wholesale ASW-185M,American_Solar_Wholesale_ASW_185M
American Solar Wholesale ASW-215P,American_Solar_Wholesale_ASW_215P
American Solar Wholesale ASW-220P,American_Solar_Wholesale_ASW_220P
American Solar Wholesale ASW-225M,American_Solar_Wholesale_ASW_225M
American Solar Wholesale ASW-225P,American_Solar_Wholesale_ASW_225P
American Solar Wholesale ASW-230M,American_Solar_Wholesale_ASW_230M
American Solar Wholesale ASW-230P,American_Solar_Wholesale_ASW_230P
American Solar Wholesale ASW-235M,American_Solar_Wholesale_ASW_235M
American Solar Wholesale ASW-235P,American_Solar_Wholesale_ASW_235P
American Solar Wholesale ASW-240M-60,American_Solar_Wholesale_ASW_240M_60
American Solar Wholesale ASW-240P,American_Solar_Wholesale_ASW_240P
American Solar Wholesale ASW-245M,American_Solar_Wholesale_ASW_245M
American Solar Wholesale ASW-245P,American_Solar_Wholesale_ASW_245P
American Solar Wholesale ASW-250M,American_Solar_Wholesale_ASW_250M
American Solar Wholesale ASW-250P,American_Solar_Wholesale_ASW_250P
American Solar Wholesale ASW-260M,American_Solar_Wholesale_ASW_260M
American Solar Wholesale ASW-260P,American_Solar_Wholesale_ASW_260P
American Solar Wholesale ASW-265M,American_Solar_Wholesale_ASW_265M
American Solar Wholesale ASW-270M,American_Solar_Wholesale_ASW_270M
