product name,value to be included in the spreadsheet
BP Solar SX170B [2005 (E)],BP_Solar_SX170B__2005__E__
BP Solar SX305 [2007 (E)],BP_Solar_SX305__2007__E__
BP Solar SX310 [2007 (E)],BP_Solar_SX310__2007__E__
BP Solar SX3130 [2007 (E)],BP_Solar_SX3130__2007__E__
BP Solar SX3140 [2007 (E)],BP_Solar_SX3140__2007__E__
BP Solar SX3150 [2003 (E)],BP_Solar_SX3150__2003__E__
BP Solar SX3160 [2003 (E)],BP_Solar_SX3160__2003__E__
BP Solar SX3190 [2007 (E)],BP_Solar_SX3190__2007__E__
BP Solar SX3195 [2007 (E)],BP_Solar_SX3195__2007__E__
BP Solar SX320 [2007 (E)],BP_Solar_SX320__2007__E__
BP Solar SX3200 [2007 (E)],BP_Solar_SX3200__2007__E__
BP Solar SX330 [2007 (E)],BP_Solar_SX330__2007__E__
BP Solar SX340 [2007 (E)],BP_Solar_SX340__2007__E__
BP Solar SX350 [2007 (E)],BP_Solar_SX350__2007__E__
BP Solar SX365 [2007 (E)],BP_Solar_SX365__2007__E__
BP Solar SX375 [2003 (E)],BP_Solar_SX375__2003__E__
BP Solar SX380 [2003 (E)],BP_Solar_SX380__2003__E__
BP Solar SX55 [2003 (E)],BP_Solar_SX55__2003__E__
BP Solar SX60 [2003 (E)],BP_Solar_SX60__2003__E__
BP Solar SX70 [2003 (E)],BP_Solar_SX70__2003__E__
BP Solar SX75 [2003 (E)],BP_Solar_SX75__2003__E__
Canadian Solar CS5P-220M [ 2009],Canadian_Solar_CS5P_220M___2009_
Entech 22X Concentrator [ 1994],Entech_22X_Concentrator___1994_
EPV-40 [ 1998],EPV_40___1998_
Evergreen ES-180 [2008 (E)],Evergreen_ES_180__2008__E__
Evergreen ES-180-RL-T Module [ 2008],Evergreen_ES_180_RL_T_Module___2008_
Evergreen ES-180-RL-T Module [2008 (E)],Evergreen_ES_180_RL_T_Module__2008__E__
Evergreen ES-190 [2008 (E)],Evergreen_ES_190__2008__E__
Evergreen ES-195 [2008 (E)],Evergreen_ES_195__2008__E__
First Solar FS-265 [2007 (E)],First_Solar_FS_265__2007__E__
First Solar FS-267 [2007 (E)],First_Solar_FS_267__2007__E__
First Solar FS-270 [2007 (E)],First_Solar_FS_270__2007__E__
First Solar FS-272 [ 2009],First_Solar_FS_272___2009_
First Solar FS-272 [2007 (E)],First_Solar_FS_272__2007__E__
First Solar FS-275 [2007 (E)],First_Solar_FS_275__2007__E__
First Solar FS-45 [ 2003],First_Solar_FS_45___2003_
First Solar FS-45 [2003 (E)],First_Solar_FS_45__2003__E__
First Solar FS-50 [ 2000],First_Solar_FS_50___2000_
First Solar FS-50 [2001 (E)],First_Solar_FS_50__2001__E__
First Solar FS-50 [2004 (E)],First_Solar_FS_50__2004__E__
First Solar FS-55 [2003 (E)],First_Solar_FS_55__2003__E__
First Solar FS-55 [2004 (E)],First_Solar_FS_55__2004__E__
Kyocera Solar KC120-1 [ 1998],Kyocera_Solar_KC120_1___1998_
Kyocera Solar KC120-1 [1999 (E)],Kyocera_Solar_KC120_1__1999__E__
Kyocera Solar KC125G [2003 (E)],Kyocera_Solar_KC125G__2003__E__
Kyocera Solar KC130TM [2008 (E)],Kyocera_Solar_KC130TM__2008__E__
Kyocera Solar KC150 [ 2002],Kyocera_Solar_KC150___2002_
Kyocera Solar KC150 [2002 (E)],Kyocera_Solar_KC150__2002__E__
Kyocera Solar KC158G [2003 (E)],Kyocera_Solar_KC158G__2003__E__
Kyocera Solar KC167G [2003 (E)],Kyocera_Solar_KC167G__2003__E__
Kyocera Solar KC35 [2003 (E)],Kyocera_Solar_KC35__2003__E__
Kyocera Solar KC40 [2003 (E)],Kyocera_Solar_KC40__2003__E__
Kyocera Solar KC40T [2008 (E)],Kyocera_Solar_KC40T__2008__E__
Kyocera Solar KC45 [2003 (E)],Kyocera_Solar_KC45__2003__E__
Kyocera Solar KC50 [2003 (E)],Kyocera_Solar_KC50__2003__E__
Kyocera Solar KC50T [2008 (E)],Kyocera_Solar_KC50T__2008__E__
Kyocera Solar KC60 [1999 (E)],Kyocera_Solar_KC60__1999__E__
Kyocera Solar KC60 [2003 (E)],Kyocera_Solar_KC60__2003__E__
Kyocera Solar KC65T [2008 (E)],Kyocera_Solar_KC65T__2008__E__
Kyocera Solar KC70 [2003 (E)],Kyocera_Solar_KC70__2003__E__
Kyocera Solar KC80 [ 1998],Kyocera_Solar_KC80___1998_
Kyocera Solar KC80 [1999 (E)],Kyocera_Solar_KC80__1999__E__
Kyocera Solar KC80 [2003 (E)],Kyocera_Solar_KC80__2003__E__
Kyocera Solar KC85T [2008 (E)],Kyocera_Solar_KC85T__2008__E__
Kyocera Solar KD135GX-LP [2008 (E)],Kyocera_Solar_KD135GX_LP__2008__E__
Kyocera Solar KD180GX-LP [2008 (E)],Kyocera_Solar_KD180GX_LP__2008__E__
Kyocera Solar KD205GX-LP [2008 (E)],Kyocera_Solar_KD205GX_LP__2008__E__
Kyocera Solar KS10 [2003 (E)],Kyocera_Solar_KS10__2003__E__
Kyocera Solar KS10 [2008 (E)],Kyocera_Solar_KS10__2008__E__
Kyocera Solar KS12 [2003 (E)],Kyocera_Solar_KS12__2003__E__
Kyocera Solar KS16 [2003 (E)],Kyocera_Solar_KS16__2003__E__
Kyocera Solar KS20 [2003 (E)],Kyocera_Solar_KS20__2003__E__
Kyocera Solar KS20 [2008 (E)],Kyocera_Solar_KS20__2008__E__
Kyocera Solar KS5 [2003 (E)],Kyocera_Solar_KS5__2003__E__
Kyocera Solar KS5 [2008 (E)],Kyocera_Solar_KS5__2008__E__
Kyocera Solar PV110 [2003 (E)],Kyocera_Solar_PV110__2003__E__
Kyocera Solar PV120 [2003 (E)],Kyocera_Solar_PV120__2003__E__
Kyocera Solar PV65 [2003 (E)],Kyocera_Solar_PV65__2003__E__
Kyocera Solar PV75 [2003 (E)],Kyocera_Solar_PV75__2003__E__
Ligitek LM220 BB00 [ 2009],Ligitek_LM220_BB00___2009_
