date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1
2012-01-02 04:00:00,0.19343208,4.4830807,0.0,0.0,0.0,-0.0,0.0,0.1934320755550382,4.0347726426958035,4.4830807,4.0347726,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.19288269,6.4453237,0.0,0.0,0.0,-0.0,0.0,0.19288269449872383,5.800791339339015,6.4453237,5.8007913,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.20456953,8.2500143,0.0,0.0,0.0,-0.0,0.0,0.20456952787850152,7.425012914353938,8.2500143,7.4250129,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.24966872,7.7057426,0.0,0.0,0.0,-0.0,0.0,0.2496687182286692,6.935168312365311,7.7057426,6.9351683,0.0,0.0,0.0,0.0
2012-01-02 08:00:00,0.44215186,7.3190231,0.0,0.0,0.0,-0.0,0.0,0.44215186286825536,6.58712083200497,7.3190231,6.5871208,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.69172069,6.9895955,0.0,0.0,0.0,-0.0,0.0,0.6917206936321402,6.290635941327643,6.9895955,6.2906359,0.0,0.0,0.0,0.0
2012-01-02 10:00:00,0.86677837,6.6601678,0.0,0.0030916197,0.0030916197,-0.0,0.0,0.8698699870751614,5.9941510506503155,6.6601678,5.9941511,0.0,0.0,0.0,0.0030916197
2012-01-02 11:00:00,1.0050562,6.4166778,0.0,0.007702787,0.007702787,-0.0,0.0,1.0127590054492808,5.775010044497508,6.4166778,5.77501,0.0,0.0,0.0,0.007702787
2012-01-02 12:00:00,0.98249952,6.2877714,0.0,0.049837433,0.049837433,-0.0,0.0,1.032336948547028,5.658994217710728,6.2877714,5.6589942,0.0,0.0,0.0,0.049837433
2012-01-02 13:00:00,0.5192281,6.2734484,0.0,0.34489836,0.34489836,-0.0,0.0,0.8641264578500569,5.6461035702899744,6.2734484,5.6461036,0.0,0.0,0.0,0.34489836
2012-01-02 14:00:00,0.6253695,6.3880319,0.0,0.054464587,0.054464587,-0.0,0.0,0.6798340853227937,5.749228749656002,6.3880319,5.7492287,0.0,0.0,0.0,0.054464587
2012-01-02 15:00:00,0.58234392,6.5742302,0.0,0.0,0.0,-0.0,0.0,0.5823439196931952,5.916807166125796,6.5742302,5.9168072,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.53289962,6.9036578,0.0,0.0,0.0,-0.0,0.0,0.532899624624905,6.213292056803123,6.9036578,6.2132921,0.0,0.0,0.0,0.0
2012-01-02 17:00:00,0.62779272,7.1757937,0.0,0.0,0.0,-0.0,0.0,0.6277927161701085,6.458214357797436,7.1757937,6.4582144,0.0,0.0,0.0,0.0
2012-01-02 18:00:00,0.78116992,7.2474084,0.0,0.0,0.0,-0.0,0.0,0.7811699183465924,6.522667594901203,7.2474084,6.5226676,0.0,0.0,0.0,0.0
2012-01-02 19:00:00,0.88045806,7.2330855,0.0,0.0,0.0,-0.0,0.0,0.8804580583423104,6.509776947480451,7.2330855,6.5097769,0.0,0.0,0.0,0.0
2012-01-02 20:00:00,0.79969904,6.9323037,0.0,0.0,0.0,-0.0,0.0,0.7996990430641032,6.239073351644629,6.9323037,6.2390734,0.0,0.0,0.0,0.0
2012-01-02 21:00:00,0.67693735,6.1445419,0.0,0.0,0.0,-0.0,0.0,0.6769373488440452,5.530087743503195,6.1445419,5.5300877,0.0,0.0,0.0,0.0
2012-01-02 22:00:00,0.57315427,4.3971431,0.0,0.0,0.0,-0.0,0.0,0.5731542729330282,3.957428758171284,4.3971431,3.9574288,0.0,0.0,0.0,0.0
2012-01-02 23:00:00,0.42272375,3.5091207,0.0,0.0,0.0,-0.0,0.0,0.42272375096768483,3.158208618084575,3.5091207,3.1582086,0.0,0.0,0.0,0.0
2012-01-03 00:00:00,0.33482278,7.111013,0.0,0.0,0.0,-0.0,0.0,0.3348227819573912,6.3999117172630635,7.111013,6.3999117,0.0,0.0,0.0,0.0
2012-01-03 01:00:00,0.26405251,7.0856165,0.0,0.0,0.0,-0.0,0.0,0.26405251315762635,6.3770548897014105,7.0856165,6.3770549,0.0,0.0,0.0,0.0
2012-01-03 02:00:00,0.21026311,7.2633919,0.0,0.0,0.0,-0.0,0.0,0.21026311337121373,6.537052682632987,7.2633919,6.5370527,0.0,0.0,0.0,0.0
2012-01-03 03:00:00,0.19827662,7.4411672,0.0,0.0,0.0,-0.0,0.0,0.1982766175970828,6.697050475564563,7.4411672,6.6970505,0.0,0.0,0.0,0.0
2012-01-03 04:00:00,0.19208359,7.8729073,0.0,0.0,0.0,-0.0,0.0,0.19208359478044845,7.0856165441126775,7.8729073,7.0856165,0.0,0.0,0.0,0.0
