date,central_Kommende_wc_bus_shortage_output1,central_Kommende_wc_elec_bus_excess_input1,central_heatpump_elec_bus_shortage_output1,screw_turbine__electricity_bus_excess_input1,Gartenhuette_GB_electricity_bus_shortage_output1,Schaafstall_electricity_bus_shortage_output1,Schaafstall_pv_bus_excess_input1,Schaafstall_gas_bus_shortage_output1,Residenz_JB_electricity_bus_shortage_output1,Residenz_JB_pv_bus_excess_input1,Residenz_JB_hp_elec_bus_shortage_output1,central_Kommende_wc_elec_central_link_input1,central_Kommende_wc_elec_central_link_output1,screw_turbine_pv_central_electricity_link_input1,screw_turbine_pv_central_electricity_link_output1,Gartenhuette_GB_central_electricity_link_input1,Gartenhuette_GB_central_electricity_link_output1,Schaafstall_central_electricity_link_input1,Schaafstall_central_electricity_link_output1,Schaafstall_pv_Schaafstall_electricity_link_input1,Schaafstall_pv_Schaafstall_electricity_link_output1,Schaafstall_pv_central_electricity_link_input1,Schaafstall_pv_central_electricity_link_output1,Residenz_JB_central_electricity_link_input1,Residenz_JB_central_electricity_link_output1,Residenz_JB_pv_Residenz_JB_electricity_link_input1,Residenz_JB_pv_Residenz_JB_electricity_link_output1,Residenz_JB_pv_central_electricity_link_input1,Residenz_JB_pv_central_electricity_link_output1,Residenz_JB_building_hp_elec_link_input1,Residenz_JB_building_hp_elec_link_output1,Residenz_JB_parcel_gchp_elec_link_input1,Residenz_JB_parcel_gchp_elec_link_output1,Residenz_JB_parcel_gchp_heat_link_input1,Residenz_JB_parcel_gchp_heat_link_output1,central_thermal_storageTisch_thermal_storage_input1,central_thermal_storageTisch_thermal_storage_output1,central_thermal_storageTisch_thermal_storage_capacity,Residenz_JB_thermal_storage_input1,Residenz_JB_thermal_storage_output1,Residenz_JB_thermal_storage_capacity,Gartenhuette_GB_electricity_demand_input1,Gartenhuette_GB_heat_demand_input1,insulation-Gartenhuette_GB_wall_output1,Schaafstall_electricity_demand_input1,Schaafstall_heat_demand_input1,insulation-Schaafstall_wall_output1,Residenz_JB_electricity_demand_input1,Residenz_JB_heat_demand_input1,Residenz_JB_electric_vehicle_input1,central_Kommende_wc_chp_transformer_input1,central_Kommende_wc_chp_transformer_output1,central_Kommende_wc_chp_transformer_output2,central_gchp_freiflaeche_K_heatpump_transformer_input1,central_gchp_freiflaeche_K_heatpump_transformer_input2,central_gchp_freiflaeche_K_heatpump_transformer_output1,GCHP25_gchp_transformer_input1,GCHP25_gchp_transformer_input2,GCHP25_gchp_transformer_output1,Schaafstall_gasheating_transformer_input1,Schaafstall_gasheating_transformer_output1,screw_turbine_output1,Schaafstall_1_pv_source_output1,Residenz_JB_1_pv_source_output1,Gartenhuette1_DN-65_f0-c0_exergy_input1,Gartenhuette1_DN-65_f0-c0_exergy_output1,central_heat_input_1_bus_DN-80_p0-f6_exergy_input1,central_heat_input_1_bus_DN-80_p0-f6_exergy_output1,Norden_DN-80_f6-f0_exergy_input1,Norden_DN-80_f6-f0_exergy_output1,dh_heat_house_station_Gartenhuette_input1,dh_heat_house_station_Gartenhuette_output1,central_heat_input_1_bus_dh_source_link_exergy_input1,central_heat_input_1_bus_dh_source_link_exergy_output1
2012-01-01 00:00:00,3.6892910340875553,1.2912518619306443,0.2606488535263581,5.6041746429154555,0.0,0.0,0.0,0.4425504546584731,0.0,0.0,0.03208928420245133,0.0,0.0,2.8140461685845457,2.8140461685845457,2.516999826933976,2.516999826933976,0.08736657107369698,0.08736657107369698,0.0,0.0,0.0,0.0,0.20967977057687268,0.20967977057687268,0.0,0.0,0.0,0.0,0.0,0.0,0.03208928420245133,0.03208928420245133,0.12404640859969761,0.12404640859969761,0.0,0.0,0.0,0.0,0.0,0.0,2.516999826933976,3.2015210889293457,0.4710362731812502,0.08736657107369694,0.7072574687167194,0.30011105043092406,0.20967977057687268,0.12404640859969761,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.2606488535263581,1.377752740085996,1.638401593612354,0.09195712439724628,0.03208928420245133,0.12404640859969761,0.4425504546584731,0.4071464182857953,8.418220811500001,0.0,0.0,3.210828120612095,2.7304848157480954,3.8519762140648868,3.3532868524352475,3.3532868524352475,3.2108281206120957,2.7304848157480954,2.7304848157480954,3.8519762140648868,3.8519762140648868
2012-01-01 01:00:00,3.6892910340875553,1.2912518619306443,0.22409862542790127,6.633450004481798,0.0,0.0,0.0,0.4856305874128378,0.0,0.0,0.034064009384140635,0.0,0.0,1.7847708070182038,1.7847708070182038,1.5649534576403599,1.5649534576403599,0.0646521615817188,0.0646521615817188,0.0,0.0,0.0,0.0,0.15516518779612512,0.15516518779612512,0.0,0.0,0.0,0.0,0.0,0.0,0.034064009384140635,0.034064009384140635,0.13168003374429438,0.13168003374429438,0.0,0.0,0.0,0.0,0.0,0.0,1.5649534576403599,2.9321374374336724,0.4314021531077469,0.0646521615817188,0.7761055408926832,0.3293254004728724,0.15516518779612512,0.13168003374429438,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.22409862542790127,1.1845534367622825,1.4086520621901837,0.09761602436015374,0.034064009384140635,0.13168003374429438,0.4856305874128378,0.44678014041981085,8.418220811500001,0.0,0.0,2.9810785891899254,2.5007352843259256,3.6222266826427165,3.1235373210130772,3.1235373210130772,2.9810785891899254,2.5007352843259256,2.5007352843259256,3.6222266826427165,3.6222266826427165
2012-01-01 02:00:00,3.6892910340875553,1.2912518619306443,0.26486618753771846,6.910898092711609,0.0,0.0,0.0,0.46017414533071327,0.0,0.0,0.035545053270407634,0.0,0.0,1.5073227187883924,1.5073227187883924,1.3058447079449687,1.3058447079449687,0.05925823848335991,0.05925823848335991,0.0,0.0,0.0,0.0,0.1422197723600637,0.1422197723600637,0.0,0.0,0.0,0.0,0.0,0.0,0.035545053270407634,0.035545053270407634,0.137405252602742,0.137405252602742,0.0,0.0,0.0,0.0,0.0,0.0,1.3058447079449687,3.2326038179480774,0.47560944088203905,0.05925823848335988,0.735422589152341,0.3120623754480848,0.1422197723600637,0.137405252602742,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.26486618753771846,1.400044967392578,1.6649111549302966,0.10186019933233437,0.035545053270407634,0.137405252602742,0.46017414533071327,0.42336021370425625,8.418220811500001,0.0,0.0,3.2373376819300383,2.7569943770660386,3.878485775382829,3.3797964137531897,3.3797964137531897,3.237337681930038,2.7569943770660386,2.7569943770660386,3.878485775382829,3.878485775382829
2012-01-01 03:00:00,3.6892910340875553,1.2912518619306443,0.22691018143547492,6.974039973164153,0.0,0.0,0.0,0.5032542780850779,0.0,0.0,0.04081098708824579,0.0,0.0,1.4441808383358485,1.4441808383358485,1.2480008586245908,1.2480008586245908,0.057699994032722864,0.057699994032722864,0.0,0.0,0.0,0.0,0.13847998567853484,0.13847998567853484,0.0,0.0,0.0,0.0,0.0,0.0,0.04081098708824579,0.04081098708824579,0.1577615863216667,0.1577615863216667,0.0,0.0,0.0,0.0,0.0,0.0,1.2480008586245908,2.952859256779494,0.4344509315749395,0.05769999403272286,0.8042706613283049,0.3412767254900332,0.13847998567853484,0.1577615863216667,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.22691018143547492,1.1994149216333376,1.4263251030688124,0.11695059923342091,0.04081098708824579,0.1577615863216667,0.5032542780850779,0.46299393583827175,8.418220811500001,0.0,0.0,2.998751630068554,2.5184083252045544,3.6398997235213453,3.141210361891706,3.141210361891706,2.998751630068554,2.5184083252045544,2.5184083252045544,3.6398997235213453,3.6398997235213453
2012-01-01 04:00:00,3.6892910340875553,1.2912518619306443,0.2747066335642261,6.977616774256754,0.0,0.0,0.0,0.6775329969550077,0.0,0.0,0.05397582163284122,0.0,0.0,1.4406040372432467,1.4406040372432467,1.2412656158955055,1.2412656158955055,0.05862894745521803,0.05862894745521803,0.0,0.0,0.0,0.0,0.14070947389252322,0.14070947389252322,0.0,0.0,0.0,0.0,0.0,0.0,0.05397582163284122,0.05397582163284122,0.20865242061897857,0.20865242061897857,0.0,0.0,0.0,0.0,0.0,0.0,1.2412656158955055,3.305130185658451,0.486280165517213,0.058628947455218,1.0827924078583404,0.45946205065973333,0.14070947389252322,0.20865242061897857,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.2747066335642261,1.4520601644412703,1.7267667980054964,0.15467659898613736,0.05397582163284122,0.20865242061897857,0.6775329969550077,0.6233303571986071,8.418220811500001,0.0,0.0,3.2991933250052377,2.818850020141238,3.9403414184580288,3.4416520568283895,3.4416520568283895,3.2991933250052377,2.818850020141238,2.818850020141238,3.9403414184580288,3.9403414184580288
2012-01-01 05:00:00,3.6892910340875553,1.2912518619306443,0.30844530565510925,7.054027722869627,0.0,0.0,0.0,1.0065085561701559,0.0,0.0,0.07981180942660972,0.0,0.0,1.3641930886303748,1.3641930886303748,1.12557791725475,1.12557791725475,0.0701809327575367,0.0701809327575367,0.0,0.0,0.0,0.0,0.1684342386180881,0.1684342386180881,0.0,0.0,0.0,0.0,0.0,0.0,0.07981180942660972,0.07981180942660972,0.308525682927453,0.308525682927453,0.0,0.0,0.0,0.0,0.0,0.0,1.12557791725475,3.553792017808303,0.5228655071235238,0.0701809327575367,1.6085413226566099,0.6825534509800664,0.1684342386180881,0.308525682927453,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.30844530565510925,1.6303979828939288,1.9388432885490379,0.22871387350084332,0.07981180942660972,0.308525682927453,1.0065085561701559,0.9259878716765435,8.418220811500001,0.0,0.0,3.5112698155487787,3.030926510684779,4.152417909001571,3.653728547371931,3.653728547371931,3.511269815548779,3.030926510684779,3.030926510684779,4.152417909001571,4.152417909001571
2012-01-01 06:00:00,3.6892910340875553,1.2912518619306443,0.5333697862609968,5.47793620513143,0.0,0.0,0.0,1.0280486225473382,0.0,0.0,0.10202746772061448,0.0,0.0,2.9402846063685715,2.9402846063685715,2.481342659544702,2.481342659544702,0.13498292553643218,0.13498292553643218,0.0,0.0,0.0,0.0,0.32395902128743714,0.32395902128743714,0.0,0.0,0.0,0.0,0.0,0.0,0.10202746772061448,0.10202746772061448,0.39440396580416676,0.39440396580416676,0.0,0.0,0.0,0.0,0.0,0.0,2.481342659544702,5.211537565473984,0.7667677844989284,0.13498292553643215,1.6429653587445918,0.6971606260010406,0.32395902128743714,0.39440396580416676,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.5333697862609968,2.8193167725783175,3.352686558839314,0.29237649808355226,0.10202746772061448,0.39440396580416676,1.0280486225473382,0.9458047327435513,8.418220811500001,0.0,0.0,4.9251130858390555,4.444769780975055,5.566261179291847,5.067571817662207,5.067571817662207,4.9251130858390555,4.444769780975055,4.444769780975055,5.566261179291847,5.566261179291847
2012-01-01 07:00:00,3.6892910340875553,1.2912518619306443,0.47432711010195133,4.516841751398001,0.0,0.0,0.0,0.992801241202858,0.0,0.0,0.09511592958470187,0.0,0.0,3.901379060102,3.901379060102,3.242028897182548,3.242028897182548,0.1939265185057211,0.1939265185057211,0.0,0.0,0.0,0.0,0.46542364441373063,0.46542364441373063,0.0,0.0,0.0,0.0,0.0,0.0,0.09511592958470187,0.09511592958470187,0.367686277798078,0.367686277798078,0.0,0.0,0.0,0.0,0.0,0.0,3.242028897182548,4.7763793592117425,0.7027434366878846,0.1939265185057211,1.5866351178733484,0.6732579759667191,0.46542364441373063,0.367686277798078,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.47432711010195133,2.5072255902861653,2.9815527003881166,0.2725703482133761,0.09511592958470187,0.367686277798078,0.992801241202858,0.9133771419066293,8.418220811500001,0.0,0.0,4.553979227387858,4.073635922523858,5.19512732084065,4.696437959211011,4.696437959211011,4.553979227387859,4.073635922523858,4.073635922523858,5.19512732084065,5.19512732084065
2012-01-01 08:00:00,3.6892910340875553,1.2912518619306443,0.48838489013981945,4.236206979139768,0.0,0.0,0.0,0.9673447991207332,0.0,0.0,0.0867233475625223,0.0,0.0,4.182013832360234,4.182013832360234,3.5019300283754786,3.5019300283754786,0.20002464823081031,0.20002464823081031,0.0,0.0,0.0,0.0,0.4800591557539445,0.4800591557539445,0.0,0.0,0.0,0.0,0.0,0.0,0.0867233475625223,0.0867233475625223,0.33524337093354173,0.33524337093354173,0.0,0.0,0.0,0.0,0.0,0.0,3.5019300283754786,4.879988455940848,0.7179873290238474,0.2000246482308102,1.545952166133006,0.6559949509419314,0.4800591557539445,0.33524337093354173,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.48838489013981945,2.58153301464144,3.0699179047812595,0.24852002337101942,0.0867233475625223,0.33524337093354173,0.9673447991207332,0.8899572151910746,8.418220811500001,0.0,0.0,4.642344431781001,4.1620011269170005,5.283492525233792,4.784803163604153,4.784803163604153,4.642344431781001,4.1620011269170005,4.1620011269170005,5.283492525233792,5.283492525233792
2012-01-01 09:00:00,3.6892910340875553,1.2912518619306443,0.4940080021549666,3.06315799323223,0.0,0.0,0.0,0.9125155392515422,0.0,0.0,0.07997636985841715,0.0,0.0,5.355062818267771,5.355062818267771,4.727348014320195,4.727348014320195,0.184622001161052,0.184622001161052,0.0,0.0,0.0,0.0,0.44309280278652463,0.44309280278652463,0.0,0.0,0.0,0.0,0.0,0.0,0.07997636985841715,0.07997636985841715,0.3091618183561694,0.3091618183561694,0.0,0.0,0.0,0.0,0.0,0.0,4.727348014320195,4.92143209463249,0.7240848859582325,0.18462200116105193,1.4583273469999614,0.6188130508885425,0.44309280278652463,0.3091618183561694,0.0,3.6892910340875553,1.2912518619306443,2.213574620452533,0.4940080021549666,2.6112559843835497,3.105263986538516,0.22918544849775224,0.07997636985841715,0.3091618183561694,0.9125155392515422,0.8395142961114188,8.418220811500001,0.0,0.0,4.677690513538257,4.197347208674257,5.31883860699105,4.82014924536141,4.82014924536141,4.677690513538258,4.197347208674257,4.197347208674257,5.31883860699105,5.31883860699105
