date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_oil_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_oilheating_transformer_input1,01_oilheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1
2012-01-01 21:00:00,0.7040568,1.1302337,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.7040567955330165,3.489351873943087,0.0,0.0,1.1302337,1.0172103,0.57261571,1.8995259,2.4721416,0.0
2012-01-01 22:00:00,0.58269353,0.0,0.0,0.0,0.55173657,0.0,0.0,-0.0,0.0,0.5826935258199407,2.382000480157495,0.0,0.0,0.0,0.0,0.55173657,1.8302639,2.3820005,0.0
2012-01-01 23:00:00,0.4314639,0.0,0.0,0.0,0.40226947,0.0,0.0,-0.0,0.0,0.4314639041363219,1.7367093801817188,0.0,0.0,0.0,0.0,0.40226947,1.3344399,1.7367094,0.0
2012-01-02 00:00:00,0.39036021,0.5474526,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.3903602123775312,2.9648489067732746,0.0,0.0,0.5474526,0.49270734,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 01:00:00,0.28118321,0.63339025,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.28118321336815516,3.042192791297795,0.0,0.0,0.63339025,0.57005122,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 02:00:00,0.2250964,0.71932789,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.2250964018917008,3.1195366758223146,0.0,0.0,0.71932789,0.64739511,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 03:00:00,0.20536863,0.99146378,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.20536862759677693,3.364458976816629,0.0,0.0,0.99146378,0.89231741,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 04:00:00,0.19343208,1.7362567,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.1934320755550382,4.0347726426958035,0.0,0.0,1.7362567,1.5626311,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 05:00:00,0.19288269,3.6984997,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.19288269449872383,5.800791339339015,0.0,0.0,3.6984997,3.3286498,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 06:00:00,0.20456953,5.5031904,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.20456952787850152,7.425012914353938,0.0,0.0,5.5031904,4.9528713,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 07:00:00,0.24966872,4.9589186,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.2496687182286692,6.935168312365311,0.0,0.0,4.9589186,4.4630267,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 08:00:00,0.44215186,4.5721992,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.44215186286825536,6.58712083200497,0.0,0.0,4.5721992,4.1149793,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 09:00:00,0.69172069,4.2427715,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.6917206936321402,6.290635941327643,0.0,0.0,4.2427715,3.8184944,0.57261571,1.8995259,2.4721416,0.0
2012-01-02 10:00:00,0.86917702,3.9133439,0.0,0.0,0.57261571,0.00069297162,0.00069297162,-0.0,0.0,0.8698699870751614,5.9941510506503155,0.0,0.0,3.9133439,3.5220095,0.57261571,1.8995259,2.4721416,0.00069297162
2012-01-02 11:00:00,1.0110325,3.6698539,0.0,0.0,0.57261571,0.0017265425,0.0017265425,-0.0,0.0,1.0127590054492808,5.775010044497508,0.0,0.0,3.6698539,3.3028685,0.57261571,1.8995259,2.4721416,0.0017265425
2012-01-02 12:00:00,1.0211661,3.5409474,0.0,0.0,0.57261571,0.01117082,0.01117082,-0.0,0.0,1.032336948547028,5.658994217710728,0.0,0.0,3.5409474,3.1868526,0.57261571,1.8995259,2.4721416,0.01117082
2012-01-02 13:00:00,0.78681916,3.5266244,0.0,0.0,0.57261571,0.077307301,0.077307301,-0.0,0.0,0.8641264578500569,5.6461035702899744,0.0,0.0,3.5266244,3.173962,0.57261571,1.8995259,2.4721416,0.077307301
2012-01-02 14:00:00,0.66762611,3.641208,0.0,0.0,0.57261571,0.012207974,0.012207974,-0.0,0.0,0.6798340853227937,5.749228749656002,0.0,0.0,3.641208,3.2770872,0.57261571,1.8995259,2.4721416,0.012207974
2012-01-02 15:00:00,0.58234392,3.8274062,0.0,0.0,0.57261571,0.0,0.0,-0.0,0.0,0.5823439196931952,5.916807166125796,0.0,0.0,3.8274062,3.4446656,0.57261571,1.8995259,2.4721416,0.0
