ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
01_electricity_bus_shortage,source,0,0,2382.79,0,2.35,714.84,0,0,0,872100.62
01_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pellet_bus_shortage,source,0,0,20146.17,0,10.78,1903.81,0,0,0,0.0
01_oil_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pv_bus_excess,sink,1816.44,0,0.0,0,3.58,-123.52,0,0,0,-49043.97
01_hp_electricity_bus_shortage,source,0,0,1342.81,0,0.26,295.42,0,0,0,491469.63
01_pv_to_01_electricity_link,link,3636.72,0,3636.72,0,2.98,0.0,0.0,50.0,50,0.0
01_thermal_storage,storage,1268.51,0,1243.14,0,9.87,0.0,43.89,10.97,30,6627.0
01_electricity_to_01_hp_electricity_bus,link,521.08,0,521.08,0,0.26,0.0,0.0,50.0,50,0.0
01_heat_without_storage_to_01_heat,link,27538.95,0,27538.95,0,12.66,0.0,0.0,50.0,50,0.0
01_heat_storage_to_01_heat,link,2459.04,0,2459.04,0,2.57,0.0,0.0,50.0,50,0.0
01_electricity_sink,sink,3988.92,0,0.0,0,0.84,0.0,0,0,0,0.0
01_heat_sink,sink,29997.98,0,0.0,0,14.52,0.0,0,0,0,0.0
01_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_oilheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_electricheating_transformer,transformer,1360.44,0,1360.44,0,1.83,0.0,42.2,1.83,50,6802.21
01_pelletheating_transformer,transformer,20146.17,0,18131.56,0,9.7,0.0,368.68,9.7,50,465980.98
01_GCHP_transformer,transformer,1863.89,6183.06,8046.95,0,1.12,0.0,316.48,1.12,50,64375.62
01_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0,0,50,0.0
01_photovoltaic_electricity_source,source,0,0,5453.17,0,4.34,0.0,475.0,5.0,5,147235.51
01_solar_thermal_source,source,149.06,2615.16,2484.41,0,1.31,0.0,143.42,1.91,20,29812.86
