date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_electricity_sink_input1,01_heat_sink_input1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 00:00:00,0.23297752,0.51378974,0.0,0.25272119,0.23297752286319187,1.5534785740157577,0.0,0.0,0.13517734,0.0,0.0,0.51378974,0.46241076,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,1.5534786,1.5534786,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 01:00:00,0.17240576,0.6200105,0.0,0.25272119,0.1724057642179168,1.6490772554936506,0.0,0.0,0.13517734,0.0,0.0,0.6200105,0.55800945,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,1.6490773,1.6490773,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 02:00:00,0.15802197,0.69967606,0.0,0.25272119,0.15802196928895967,1.72077626660207,0.0,0.0,0.13517734,0.0,0.0,0.69967606,0.62970846,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,1.7207763,1.7207763,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 03:00:00,0.15386665,0.98293142,0.0,0.25272119,0.1538666507539276,1.9757060838764509,0.0,0.0,0.13517734,0.0,0.0,0.98293142,0.88463827,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,1.9757061,1.9757061,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 04:00:00,0.15634386,1.6910698,0.0,0.25272119,0.15634385988058136,2.6130306270624026,0.0,0.0,0.13517734,0.0,0.0,1.6910698,1.5219628,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,2.6130306,2.6130306,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 05:00:00,0.18714915,3.0807914,0.0,0.25272119,0.18714915402009788,3.8637800430648337,0.0,0.0,0.13517734,0.0,0.0,3.0807914,2.7727122,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,3.86378,3.86378,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 06:00:00,0.35995447,4.2757749,0.0,0.25272119,0.3599544680971524,4.939265209691127,0.0,0.0,0.13517734,0.0,0.0,4.2757749,3.8481974,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,4.9392652,4.9392652,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 07:00:00,0.51713738,3.9040022,0.0,0.25272119,0.5171373826819229,4.604669824518503,0.0,0.0,0.13517734,0.0,0.0,3.9040022,3.513602,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,4.6046698,4.6046698,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 08:00:00,0.53339906,3.452564,0.0,0.25272119,0.5333990619488272,4.198375428237458,0.0,0.0,0.13517734,0.0,0.0,3.452564,3.1073076,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,4.1983754,4.1983754,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 09:00:00,0.49232534,3.0896431,0.0,0.25272119,0.4923253364294718,3.8717465998546574,0.0,0.0,0.13517734,0.0,0.0,3.0896431,2.7806788,0.25272119,0.83834661,1.0910678,0.0,0.0,-0.0,0.0,3.8717466,3.8717466,0.0,0.0,0.0,0.0,0.0,0.0
