date,ID_electricity_bus_shortage_output1,ID_pellet_bus_shortage_output1,ID_oil_bus_shortage_output1,ID_pv_bus_excess_input1,ID_hp_electricity_bus_shortage_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_electricity_to_ID_hp_electricity_bus_input1,ID_electricity_to_ID_hp_electricity_bus_output1,ID_oilheating_transformer_input1,ID_oilheating_transformer_output1,ID_pelletheating_transformer_input1,ID_pelletheating_transformer_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_photovoltaic_electricity_source_output1
2012-01-02 01:00:00,0.28118321,0.0,0.0,0.0,0.70465519,0.0,0.0,0.28118321336815516,3.042192791297795,-0.0,0.0,0.0,0.0,0.0,0.0,2.3375376,0.70465519,3.0421928,0.0
2012-01-02 02:00:00,0.2250964,0.0,0.0,0.0,0.72257015,0.0,0.0,0.2250964018917008,3.1195366758223146,-0.0,0.0,0.0,0.0,0.0,0.0,2.3969665,0.72257015,3.1195367,0.0
2012-01-02 03:00:00,0.20536863,0.0,0.0,0.0,0.77930087,0.0,0.0,0.20536862759677693,3.364458976816629,-0.0,0.0,0.0,0.0,0.0,0.0,2.5851581,0.77930087,3.364459,0.0
2012-01-02 04:00:00,0.19343208,0.033501011,0.0,0.0,0.9275801,0.0,0.0,0.1934320755550382,4.0347726426958035,-0.0,0.0,0.0,0.0,0.033501011,0.03015091,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 05:00:00,0.19288269,1.995744,0.0,0.0,0.9275801,0.0,0.0,0.19288269449872383,5.800791339339015,-0.0,0.0,0.0,0.0,1.995744,1.7961696,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 06:00:00,0.20456953,3.8004346,0.0,0.0,0.9275801,0.0,0.0,0.20456952787850152,7.425012914353938,-0.0,0.0,0.0,0.0,3.8004346,3.4203912,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 07:00:00,0.24966872,3.2561629,0.0,0.0,0.9275801,0.0,0.0,0.2496687182286692,6.935168312365311,-0.0,0.0,0.0,0.0,3.2561629,2.9305466,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 08:00:00,0.44215186,2.8694434,0.0,0.0,0.9275801,0.0,0.0,0.44215186286825536,6.58712083200497,-0.0,0.0,0.0,0.0,2.8694434,2.5824991,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 09:00:00,0.69172069,2.5400158,0.0,0.0,0.9275801,0.0,0.0,0.6917206936321402,6.290635941327643,-0.0,0.0,0.0,0.0,2.5400158,2.2860142,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 10:00:00,0.86907902,2.2105881,0.0,0.0,0.9275801,0.0007909708,0.0007909708,0.8698699870751614,5.9941510506503155,-0.0,0.0,0.0,0.0,2.2105881,1.9895293,3.0770416,0.9275801,4.0046217,0.0007909708
2012-01-02 11:00:00,1.0107883,1.9670981,0.0,0.0,0.9275801,0.001970708,0.001970708,1.0127590054492808,5.775010044497508,-0.0,0.0,0.0,0.0,1.9670981,1.7703883,3.0770416,0.9275801,4.0046217,0.001970708
2012-01-02 12:00:00,1.0195864,1.8381916,0.0,0.0,0.9275801,0.012750583,0.012750583,1.032336948547028,5.658994217710728,-0.0,0.0,0.0,0.0,1.8381916,1.6543725,3.0770416,0.9275801,4.0046217,0.012750583
2012-01-02 13:00:00,0.77588646,1.8238687,0.0,0.0,0.9275801,0.088240002,0.088240002,0.8641264578500569,5.6461035702899744,-0.0,0.0,0.0,0.0,1.8238687,1.6414818,3.0770416,0.9275801,4.0046217,0.088240002
2012-01-02 14:00:00,0.66589968,1.9384522,0.0,0.0,0.9275801,0.01393441,0.01393441,0.6798340853227937,5.749228749656002,-0.0,0.0,0.0,0.0,1.9384522,1.744607,3.0770416,0.9275801,4.0046217,0.01393441
2012-01-02 15:00:00,0.58234392,2.1246505,0.0,0.0,0.9275801,0.0,0.0,0.5823439196931952,5.916807166125796,-0.0,0.0,0.0,0.0,2.1246505,1.9121854,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 16:00:00,0.53289962,2.4540781,0.0,0.0,0.9275801,0.0,0.0,0.532899624624905,6.213292056803123,-0.0,0.0,0.0,0.0,2.4540781,2.2086703,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 17:00:00,0.62779272,2.726214,0.0,0.0,0.9275801,0.0,0.0,0.6277927161701085,6.458214357797436,-0.0,0.0,0.0,0.0,2.726214,2.4535926,3.0770416,0.9275801,4.0046217,0.0
2012-01-02 18:00:00,0.78116992,2.7978287,0.0,0.0,0.9275801,0.0,0.0,0.7811699183465924,6.522667594901203,-0.0,0.0,0.0,0.0,2.7978287,2.5180459,3.0770416,0.9275801,4.0046217,0.0
