date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricity_sink_input1,01_heat_sink_input1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 15:00:00,0.41880816,2.7628736,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,3.6088502,3.6088502,0.0,0.0,0.4188081623481354,3.6088502257904524,0.0,0.0,2.7628736,2.4865863,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 16:00:00,0.42036641,2.9930186,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,3.8159807,3.8159807,0.0,0.0,0.4203664067987724,3.815980702325887,0.0,0.0,2.9930186,2.6937167,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 17:00:00,0.5141008,3.2674222,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.062944,4.062944,0.0,0.0,0.5141008037524765,4.062943962810443,0.0,0.0,3.2674222,2.94068,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0.66401191,3.3824947,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.1665092,4.1665092,0.0,0.0,0.6640119109009408,4.166509201078161,0.0,0.0,3.3824947,3.0442452,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.74747788,3.4179016,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.1983754,4.1983754,0.0,0.0,0.747477876474806,4.198375428237458,0.0,0.0,3.4179016,3.0761115,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.67220268,3.2054601,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.0071781,4.0071781,0.0,0.0,0.6722026830132636,4.007178065281672,0.0,0.0,3.2054601,2.8849141,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.56324544,2.6300977,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,3.4893519,3.4893519,0.0,0.0,0.5632454364264132,3.489351873943087,0.0,0.0,2.6300977,2.3670879,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.46615482,1.3997073,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,2.3820005,2.3820005,0.0,0.0,0.4661548206559526,2.382000480157495,0.0,0.0,1.3997073,1.2597365,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.34517112,0.68271714,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,1.7367094,1.7367094,0.0,0.0,0.3451711233090575,1.7367093801817188,0.0,0.0,0.68271714,0.61444543,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 00:00:00,0.23297752,0.6157215,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,1.6764133,1.6764133,0.0,0.0,0.23297752286319187,1.6764133016868443,0.0,0.0,0.6157215,0.55414935,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.17240576,0.73034805,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,1.7795772,1.7795772,0.0,0.0,0.1724057642179168,1.7795771971752654,0.0,0.0,0.73034805,0.65731324,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.15802197,0.81631796,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,1.8569501,1.8569501,0.0,0.0,0.15802196928895967,1.8569501187915813,0.0,0.0,0.81631796,0.73468616,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.15386665,1.1219888,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,2.1320538,2.1320538,0.0,0.0,0.1538666507539276,2.1320538400940374,0.0,0.0,1.1219888,1.0097899,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.15634386,1.8861658,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,2.8198131,2.8198131,0.0,0.0,0.15634385988058136,2.819813143350179,0.0,0.0,1.8861658,1.6975492,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.18714915,3.3858631,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.1695408,4.1695408,0.0,0.0,0.18714915402009788,4.169540775990356,0.0,0.0,3.3858631,3.0472768,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.35995447,4.6754118,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,5.3301346,5.3301346,0.0,0.0,0.3599544680971524,5.330134600235094,0.0,0.0,4.6754118,4.2078706,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.51713738,4.2742189,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.969061,4.969061,0.0,0.0,0.5171373826819229,4.96906096602562,0.0,0.0,4.2742189,3.846797,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 08:00:00,0.53339906,3.7870561,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.5306144,4.5306144,0.0,0.0,0.5333990619488272,4.5306144101998305,0.0,0.0,3.7870561,3.4083505,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.36867362,3.3954153,0.0,0.25994708,0.12365172,0.12365172,0.0,0.0,1.0971861,0.0,0.0,4.1781378,4.1781378,0.0,0.0,0.4923253364294718,4.178137767281058,0.0,0.0,3.3954153,3.0558738,0.25994708,0.86231688,1.122264,0.12365172,0.0,0.0,0.0
2012-01-02 10:00:00,0.21336749,3.0610879,0.0,0.25994708,0.2509494,0.2509494,0.0,0.0,1.0971861,0.0,0.0,3.8772431,3.8772431,0.0,0.0,0.4643168913039192,3.877243072106496,0.0,0.0,3.0610879,2.7549791,0.25994708,0.86231688,1.122264,0.2509494,0.0,0.0,0.0
2012-01-02 11:00:00,0.0,2.4903346,0.0,0.080003935,0.672679,0.672679,0.0,0.0,1.0971861,0.17994314,0.17994314,3.3635651,3.3635651,0.33314113,0.33314113,0.47274739333172466,3.6967062550017586,0.0,0.0,2.4903346,2.2413012,0.25994708,0.86231688,1.122264,0.672679,0.019988468,0.35067487,0.33314113
2012-01-02 12:00:00,0.0,2.3122477,0.0,0.0,0.80978519,0.80978519,0.0,0.0,1.0971861,0.25994708,0.25994708,3.2044318,3.2044318,0.4406925,0.4406925,0.5222516208788854,3.6451243072575483,0.0011449403,0.0011449403,2.3122477,2.0810229,0.25994708,0.86231688,1.122264,0.80978519,0.02644155,0.46388684,0.4406925
2012-01-02 13:00:00,0.08538973,2.7352692,0.0,0.25994708,0.43466278,0.43466278,0.0,0.0,1.0971861,0.0,0.0,3.5840062,3.5840062,0.043924097,0.043924097,0.5174170675833193,3.6279303246761447,0.0,0.0,2.7352692,2.4617423,0.25994708,0.86231688,1.122264,0.43466278,0.0026354458,0.046235892,0.043924097
2012-01-02 14:00:00,0.0,2.8987003,0.0,0.18603174,0.5347961,0.5347961,0.0,0.0,1.0971861,0.07391534,0.07391534,3.7310942,3.7310942,0.0,0.0,0.460880762515335,3.731094220164566,0.0,0.0,2.8987003,2.6088303,0.25994708,0.86231688,1.122264,0.5347961,0.0,0.0,0.0
2012-01-02 15:00:00,0.41880816,3.0801923,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,3.8944371,3.8944371,0.0,0.0,0.4188081623481354,3.8944370546879,0.0,0.0,3.0801923,2.7721731,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 16:00:00,0.42036641,3.3285499,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.1179588,4.1179588,0.0,0.0,0.4203664067987724,4.117958828246145,0.0,0.0,3.3285499,2.9956949,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
2012-01-02 17:00:00,0.5141008,3.6246684,0.0,0.25994708,0.0,0.0,0.0,0.0,1.0971861,0.0,0.0,4.3844656,4.3844656,0.0,0.0,0.5141008037524765,4.3844655582579,0.0,0.0,3.6246684,3.2622016,0.25994708,0.86231688,1.122264,0.0,0.0,0.0,0.0
