date,ID_electricity_bus_shortage_output1,ID_pellet_bus_shortage_output1,ID_pv_bus_excess_input1,ID_electricity_sink_input1,ID_heat_sink_input1,ID_heat_sink_window-insulation_output1,ID_pelletheating_transformer_input1,ID_pelletheating_transformer_output1,ID_GCHP_transformer_input1,ID_GCHP_transformer_input2,ID_GCHP_transformer_output1,ID_pv_to_ID_electricity_link_input1,ID_pv_to_ID_electricity_link_output1,ID_electricity_to_ID_hp_electricity_bus_input1,ID_electricity_to_ID_hp_electricity_bus_output1,ID_photovoltaic_electricity_source_output1
2012-01-02 01:00:00,0.28118321,1.1473492,0.0,0.28118321336815516,3.042192791297795,2.0095785,1.1473492,1.0326143,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 02:00:00,0.2250964,1.1765191,0.0,0.2250964018917008,3.1195366758223146,2.0606695,1.1765191,1.0588672,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 03:00:00,0.20536863,1.2688905,0.0,0.20536862759677693,3.364458976816629,2.2224575,1.2688905,1.1420014,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 04:00:00,0.19343208,1.5216962,0.0,0.1934320755550382,4.0347726426958035,2.665246,1.5216962,1.3695266,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 05:00:00,0.19288269,2.1877422,0.0,0.19288269449872383,5.800791339339015,3.8318234,2.1877422,1.968968,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 06:00:00,0.20456953,2.80031,0.0,0.20456952787850152,7.425012914353938,4.9047339,2.80031,2.520279,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 07:00:00,0.24966872,2.6155673,0.0,0.2496687182286692,6.935168312365311,4.5811577,2.6155673,2.3540106,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 08:00:00,0.44215186,2.4843028,0.0,0.44215186286825536,6.58712083200497,4.3512483,2.4843028,2.2358725,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 09:00:00,0.69172069,2.3724849,0.0,0.6917206936321402,6.290635941327643,4.1553996,2.3724849,2.1352364,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 10:00:00,0.86677837,2.2606669,0.0,0.8698699870751614,5.9941510506503155,3.9595508,2.2606669,2.0346002,-0.0,0.0,0.0,0.0030916197,0.0030916197,-0.0,0.0,0.0030916197
2012-01-02 11:00:00,1.0050562,2.1780189,0.0,1.0127590054492808,5.775010044497508,3.814793,2.1780189,1.960217,-0.0,0.0,0.0,0.007702787,0.007702787,-0.0,0.0,0.007702787
2012-01-02 12:00:00,0.98249952,2.1342641,0.0,1.032336948547028,5.658994217710728,3.7381566,2.1342641,1.9208376,-0.0,0.0,0.0,0.049837433,0.049837433,-0.0,0.0,0.049837433
2012-01-02 13:00:00,0.5192281,2.1294024,0.0,0.8641264578500569,5.6461035702899744,3.7296414,2.1294024,1.9164622,-0.0,0.0,0.0,0.34489836,0.34489836,-0.0,0.0,0.34489836
2012-01-02 14:00:00,0.6253695,2.1682956,0.0,0.6798340853227937,5.749228749656002,3.7977627,2.1682956,1.951466,-0.0,0.0,0.0,0.054464587,0.054464587,-0.0,0.0,0.054464587
2012-01-02 15:00:00,0.58234392,2.231497,0.0,0.5823439196931952,5.916807166125796,3.9084598,2.231497,2.0083473,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 16:00:00,0.53289962,2.343315,0.0,0.532899624624905,6.213292056803123,4.1043086,2.343315,2.1089835,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 17:00:00,0.62779272,2.4356863,0.0,0.6277927161701085,6.458214357797436,4.2660967,2.4356863,2.1921177,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2012-01-02 18:00:00,0.78116992,2.4599946,0.0,0.7811699183465924,6.522667594901203,4.3086725,2.4599946,2.2139951,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
