ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
01_electricity_bus_shortage,source,0,0,57.29,0,0.98,896.25,0,0,0,1093424.86
01_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pellet_bus_shortage,source,0,0,401.31,0,8.5,1977.43,0,0,0,0.0
01_oil_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
01_pv_bus_excess,sink,12.12,0,0.0,0,1.08,-42.97,0,0,0,-17060.3
01_hp_electricity_bus_shortage,source,0,0,31.87,0,0.25,365.62,0,0,0,608262.31
01_pv_to_01_electricity_link,link,35.93,0,35.93,0,1.7,0.0,0.0,50.0,50,0.0
01_electricity_to_01_hp_electricity_bus,link,7.03,0,7.03,0,0.25,0.0,0.0,50.0,50,0.0
01_thermal_storage,storage,3.24,0,3.18,0,1.22,0.0,5.41,1.35,30,816.47
01_electricity_sink,sink,76.49,0,0.0,0,0.83,0.0,0,0,0,0.0
01_heat_sink,sink,545.71,0,0.0,0,9.36,0.0,0,0,0,0.0
01_heat_without_storage_to_01_heat,link,538.39,0,538.39,0,9.36,0.0,0.0,50.0,50,0.0
01_heat_storage_to_01_heat,link,7.32,0,7.32,0,0.36,0.0,0.0,50.0,50,0.0
01_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_oilheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,0,0,50,0.0
01_electricheating_transformer,transformer,9.25,0,9.25,0,0.62,0.0,14.2,0.62,50,2412.81
01_pelletheating_transformer,transformer,401.31,0,361.17,0,7.65,0.0,290.67,7.65,50,483999.69
01_GCHP_transformer,transformer,38.91,129.06,167.96,0,1.09,0.0,307.68,1.09,50,70065.25
01_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,0,0,50,0.0
01_photovoltaic_electricity_source,source,0,0,48.05,0,2.15,0.0,251.53,2.65,5,67645.23
01_solar_thermal_source,source,0.44,7.77,7.38,0,0.25,0.0,30.05,0.4,20,4620.1
