date,01_electricity_bus_shortage_output1,01_heat_bus_excess_input1,01_pellet_bus_shortage_output1,01_oil_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_oilheating_transformer_input1,01_oilheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 18:00:00,0.83001489,0.0,3.4967837,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.830014888626176,4.166509201078161,0.0,0.0,3.4967837,3.1471053,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.93434735,0.0,3.5321906,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.9343473455935075,4.198375428237458,0.0,0.0,3.5321906,3.1789715,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.84025335,0.0,3.3197491,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.8402533537665795,4.007178065281672,0.0,0.0,3.3197491,2.9877742,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.7040568,0.0,2.7443867,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.7040567955330165,3.489351873943087,0.0,0.0,2.7443867,2.469948,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.58269353,0.0,1.5139962,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.5826935258199407,2.382000480157495,0.0,0.0,1.5139962,1.3625966,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.4314639,0.0,0.79700611,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.4314639041363219,1.7367093801817188,0.0,0.0,0.79700611,0.7173055,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 00:00:00,0.39036021,0.0,2.1616056,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.3903602123775312,2.9648489067732746,0.0,0.0,2.1616056,1.945445,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.28118321,0.0,2.2475432,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.28118321336815516,3.042192791297795,0.0,0.0,2.2475432,2.0227889,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.2250964,0.0,2.3334809,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.2250964018917008,3.1195366758223146,0.0,0.0,2.3334809,2.1001328,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.20536863,0.0,2.6056168,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.20536862759677693,3.364458976816629,0.0,0.0,2.6056168,2.3450551,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.19343208,0.0,3.3504097,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.1934320755550382,4.0347726426958035,0.0,0.0,3.3504097,3.0153688,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.19288269,0.0,5.3126527,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.19288269449872383,5.800791339339015,0.0,0.0,5.3126527,4.7813875,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.20456953,0.0,7.1173434,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.20456952787850152,7.425012914353938,0.0,0.0,7.1173434,6.405609,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.24966872,0.0,6.5730716,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.2496687182286692,6.935168312365311,0.0,0.0,6.5730716,5.9157644,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 08:00:00,0.44215186,0.0,6.1863522,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.44215186286825536,6.58712083200497,0.0,0.0,6.1863522,5.5677169,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.69172069,0.0,5.8569245,0.0,0.0,0.23612187,0.0,0.0,-0.0,0.0,0.6917206936321402,6.290635941327643,0.0,0.0,5.8569245,5.2712321,0.23612187,0.78328202,1.0194039,0.0,0.0,0.0,0.0
2012-01-02 10:00:00,0.86924138,0.0,5.5274969,0.0,0.0,0.23612187,0.00062860805,0.00062860805,-0.0,0.0,0.8698699870751614,5.9941510506503155,0.0,0.0,5.5274969,4.9747472,0.23612187,0.78328202,1.0194039,0.00062860805,0.0,0.0,0.0
2012-01-02 11:00:00,1.0111928,0.0,5.2840068,0.0,0.0,0.23612187,0.0015661803,0.0015661803,-0.0,0.0,1.0127590054492808,5.775010044497508,0.0,0.0,5.2840068,4.7556062,0.23612187,0.78328202,1.0194039,0.0015661803,0.0,0.0,0.0
2012-01-02 12:00:00,1.0222037,0.0,5.1551004,0.0,0.0,0.23612187,0.010133268,0.010133268,-0.0,0.0,1.032336948547028,5.658994217710728,0.0,0.0,5.1551004,4.6395903,0.23612187,0.78328202,1.0194039,0.010133268,0.0,0.0,0.0
