,dhi,dirhi,pressure,temp_air,v_wind,z0
05.01.2012 04:00,0,0,1000420,845,122271,15
05.01.2012 05:00,0,0,999982,875,106734,15
05.01.2012 06:00,0,0,999481,8983333333,971272,15
05.01.2012 07:00,0,0,998867,6816666667,109976,15
05.01.2012 08:00,2,0,998188,6783333333,137298,15
05.01.2012 09:00,66,6,997561,8083333333,156233,15
05.01.2012 10:00,55,0,996966,8483333333,160909,15
05.01.2012 11:00,86,10,996425,8716666667,147126,15
05.01.2012 12:00,140,18,995827,8516666667,122238,15
05.01.2012 13:00,89,6,995213,8,105889,15
05.01.2012 14:00,56,1,994712,7616666667,127001,15
05.01.2012 15:00,16,0,994327,745,155222,15
05.01.2012 16:00,0,0,994035,67,170032,15
05.01.2012 17:00,0,0,993636,4583333333,175863,15
05.01.2012 18:00,0,0,993231,4733333333,16418,15
05.01.2012 19:00,0,0,992871,5166666667,143202,15
05.01.2012 20:00,0,0,992383,5183333333,139284,15
05.01.2012 21:00,0,0,991908,4683333333,130528,15
05.01.2012 22:00,0,0,991601,3816666667,114158,15
05.01.2012 23:00,0,0,991412,33,110291,15
06.01.2012 00:00,0,0,991309,475,117376,15
06.01.2012 01:00,0,0,991274,4616666667,119974,15
06.01.2012 02:00,0,0,991285,4333333333,128662,15
06.01.2012 03:00,0,0,991057,4783333333,154882,15
06.01.2012 04:00,0,0,990781,53,152977,15
06.01.2012 05:00,0,0,990535,52,136668,15
06.01.2012 06:00,0,0,990265,5833333333,129679,15
06.01.2012 07:00,0,0,990137,6316666667,13055,15
06.01.2012 08:00,23,0,990117,64,137923,15
06.01.2012 09:00,79,1,990099,67,154701,15
06.01.2012 10:00,114,3,990066,69,176222,15
06.01.2012 11:00,150,17,990104,74,176356,15
06.01.2012 12:00,125,28,990210,7133333333,184786,15
06.01.2012 13:00,50,0,990248,605,178025,15
06.01.2012 14:00,63,9,990315,5616666667,17179,15
06.01.2012 15:00,7,0,990594,595,151743,15
06.01.2012 16:00,0,0,990978,6266666667,153535,15
06.01.2012 17:00,0,0,991334,6183333333,162984,15
06.01.2012 18:00,0,0,991610,5633333333,1761,15
06.01.2012 19:00,0,0,991872,565,174418,15
06.01.2012 20:00,0,0,992113,54,168012,15
06.01.2012 21:00,0,0,992424,5216666667,172892,15
06.01.2012 22:00,0,0,992751,4483333333,185373,15
06.01.2012 23:00,0,0,993234,385,196994,15
07.01.2012 00:00,0,0,993756,39,200784,15
07.01.2012 01:00,0,0,994309,4316666667,196784,15
07.01.2012 02:00,0,0,994904,465,199643,15
07.01.2012 03:00,0,0,995521,4733333333,205974,15
07.01.2012 04:00,0,0,995975,5133333333,207034,15
07.01.2012 05:00,0,0,996227,59,215834,15
07.01.2012 06:00,0,0,996397,66,22539,15
07.01.2012 07:00,0,0,996569,715,241636,15
07.01.2012 08:00,3,0,996837,7833333333,261055,15
