,reductionco2,Electricity Demand,PV,PV_south,PV_excess,ST_electricity,GCHP,ASHP,grid_import
0,0.0,246.89,167.72,167.72,59.08,0.0,303.35,0.0,446.87
0,30.0,246.89,223.44,223.44,117.09,0.0,250.2,0.0,390.74
0,50.0,246.89,203.15,203.15,112.48,0.56,147.53,0.0,304.31
0,70.0,246.89,161.51,161.51,89.72,5.64,35.61,0.0,216.35
0,100.0,246.89,873.35,873.35,772.37,0.0,25.2,0.0,171.11
