,reductionco2,ST,ST_north,Heat Demand,GCHP,ASHP,natural_gasheating,oil_heating,electric_heating,pellet_heating,thermal_storage_losses,DH
0,0.0,1585.31,1585.31,29997.98,16742.26,0.0,0.0,0.0,763.92,10926.79,20.300000000000068,0.0
0,25.0,2417.08,2417.08,29997.98,12511.12,0.0,0.0,0.0,964.79,14130.26,25.269999999999982,0.0
0,50.0,2484.41,2484.41,29997.98,8046.95,0.0,0.0,0.0,1360.44,18131.56,25.36999999999989,0.0
0,75.0,2491.62,2491.62,29997.98,3185.5,769.0,0.0,0.0,1473.09,22102.11,23.340000000000146,0.0
0,100.0,2542.52,2542.52,29997.98,5435.88,0.0,0.0,0.0,0.0,22054.99,35.40000000000009,0.0
