date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_electricity_sink_input1,01_heat_sink_input1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_thermal_storage_capacity,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_photovoltaic_electricity_source_output1
2012-01-01 00:00:00,0.23297752,0.0,0.0,0.3598282,0.23297752286319187,1.5534785740157577,0.0,0.0,0.0,0.0,0.3598282,1.1936504,1.5534786,0.0,0.0,0.0,-0.0,0.0,1.5534786,1.5534786,0.0
2012-01-01 01:00:00,0.17240576,0.0,0.0,0.38197147,0.1724057642179168,1.6490772554936506,0.0,0.0,0.0,0.0,0.38197147,1.2671058,1.6490773,0.0,0.0,0.0,-0.0,0.0,1.6490773,1.6490773,0.0
2012-01-01 02:00:00,0.15802197,0.0,0.0,0.39857892,0.15802196928895967,1.72077626660207,0.0,0.0,0.0,0.0,0.39857892,1.3221973,1.7207763,0.0,0.0,0.0,-0.0,0.0,1.7207763,1.7207763,0.0
2012-01-01 03:00:00,0.15386665,0.0,0.0,0.45762765,0.1538666507539276,1.9757060838764509,0.0,0.0,0.0,0.0,0.45762765,1.5180784,1.9757061,0.0,0.0,0.0,-0.0,0.0,1.9757061,1.9757061,0.0
2012-01-01 04:00:00,0.15634386,0.0,0.0,0.60524948,0.15634385988058136,2.6130306270624026,0.0,0.0,0.0,0.0,0.60524948,2.0077811,2.6130306,0.0,0.0,0.0,-0.0,0.0,2.6130306,2.6130306,0.0
2012-01-01 05:00:00,0.18714915,0.99307868,0.0,0.6879355,0.18714915402009788,3.8637800430648337,0.0,0.0,0.99307868,0.89377081,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.86378,3.86378,0.0
2012-01-01 06:00:00,0.35995447,2.1880622,0.0,0.6879355,0.3599544680971524,4.939265209691127,0.0,0.0,2.1880622,1.969256,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.9392652,4.9392652,0.0
2012-01-01 07:00:00,0.51713738,1.8162896,0.0,0.6879355,0.5171373826819229,4.604669824518503,0.0,0.0,1.8162896,1.6346606,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.6046698,4.6046698,0.0
2012-01-01 08:00:00,0.53339906,1.3648513,0.0,0.6879355,0.5333990619488272,4.198375428237458,0.0,0.0,1.3648513,1.2283662,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.1983754,4.1983754,0.0
2012-01-01 09:00:00,0.49232534,1.0019304,0.0,0.6879355,0.4923253364294718,3.8717465998546574,0.0,0.0,1.0019304,0.90173737,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.8717466,3.8717466,0.0
2012-01-01 10:00:00,0.46319449,0.69211987,0.0,0.6879355,0.4643168913039192,3.592917112210804,0.0,0.0,0.69211987,0.62290788,0.6879355,2.2820737,2.9700092,0.0,0.0011224015,0.0011224015,-0.0,0.0,3.5929171,3.5929171,0.0011224015
2012-01-01 11:00:00,0.47274739,0.50623355,0.0,0.6879355,0.47274739333172466,3.425619419624491,0.0,0.0,0.50623355,0.45561019,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.4256194,3.4256194,0.0
2012-01-01 12:00:00,0.52225162,0.45312317,0.0,0.6879355,0.5222516208788854,3.377820078885545,0.0,0.0,0.45312317,0.40781085,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.3778201,3.3778201,0.0
2012-01-01 13:00:00,0.51741707,0.43541971,0.0,0.6879355,0.5174170675833193,3.3618869653058963,0.0,0.0,0.43541971,0.39187774,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.361887,3.361887,0.0
2012-01-01 14:00:00,0.46088076,0.54164046,0.0,0.6879355,0.460880762515335,3.457485646783789,0.0,0.0,0.54164046,0.48747642,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.4574856,3.4574856,0.0
2012-01-01 15:00:00,0.41880816,0.70982333,0.0,0.6879355,0.4188081623481354,3.6088502257904524,0.0,0.0,0.70982333,0.638841,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.6088502,3.6088502,0.0
2012-01-01 16:00:00,0.42036641,0.9399683,0.0,0.6879355,0.4203664067987724,3.815980702325887,0.0,0.0,0.9399683,0.84597147,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.8159807,3.8159807,0.0
2012-01-01 17:00:00,0.5141008,1.2143719,0.0,0.6879355,0.5141008037524765,4.062943962810443,0.0,0.0,1.2143719,1.0929347,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.062944,4.062944,0.0
2012-01-01 18:00:00,0.66401191,1.3294444,0.0,0.6879355,0.6640119109009408,4.166509201078161,0.0,0.0,1.3294444,1.1965,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.1665092,4.1665092,0.0
2012-01-01 19:00:00,0.74747788,1.3648513,0.0,0.6879355,0.747477876474806,4.198375428237458,0.0,0.0,1.3648513,1.2283662,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.1983754,4.1983754,0.0
2012-01-01 20:00:00,0.67220268,1.1524098,0.0,0.6879355,0.6722026830132636,4.007178065281672,0.0,0.0,1.1524098,1.0371688,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,4.0071781,4.0071781,0.0
2012-01-01 21:00:00,0.56324544,0.57704738,0.0,0.6879355,0.5632454364264132,3.489351873943087,0.0,0.0,0.57704738,0.51934265,0.6879355,2.2820737,2.9700092,0.0,0.0,0.0,-0.0,0.0,3.4893519,3.4893519,0.0
2012-01-01 22:00:00,0.46615482,0.0,0.0,0.55173657,0.4661548206559526,2.382000480157495,0.0,0.0,0.0,0.0,0.55173657,1.8302639,2.3820005,0.0,0.0,0.0,-0.0,0.0,2.3820005,2.3820005,0.0
2012-01-01 23:00:00,0.34517112,0.0,0.0,0.40226947,0.3451711233090575,1.7367093801817188,0.0,0.0,0.0,0.0,0.40226947,1.3344399,1.7367094,0.0,0.0,0.0,-0.0,0.0,1.7367094,1.7367094,0.0
