date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_oil_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_electricity_sink_input1,01_heat_sink_input1,01_oilheating_transformer_input1,01_oilheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_photovoltaic_electricity_source_output1
2012-01-01 00:00:00,0.2912219,0.0,0.0,0.0,0.3598282,0.2912219035789898,1.5534785740157577,0.0,0.0,0.0,0.0,0.3598282,1.1936504,1.5534786,0.0,0.0,-0.0,0.0,0.0
2012-01-01 01:00:00,0.21550721,0.0,0.0,0.0,0.38197147,0.215507205272396,1.6490772554936506,0.0,0.0,0.0,0.0,0.38197147,1.2671058,1.6490773,0.0,0.0,-0.0,0.0,0.0
2012-01-01 02:00:00,0.19752746,0.0,0.0,0.0,0.39857892,0.19752746161119958,1.72077626660207,0.0,0.0,0.0,0.0,0.39857892,1.3221973,1.7207763,0.0,0.0,-0.0,0.0,0.0
2012-01-01 03:00:00,0.19233331,0.0,0.0,0.0,0.45762765,0.1923333134424095,1.9757060838764509,0.0,0.0,0.0,0.0,0.45762765,1.5180784,1.9757061,0.0,0.0,-0.0,0.0,0.0
2012-01-01 04:00:00,0.19542982,0.0,0.0,0.0,0.60524948,0.19542982485072669,2.6130306270624026,0.0,0.0,0.0,0.0,0.60524948,2.0077811,2.6130306,0.0,0.0,-0.0,0.0,0.0
2012-01-01 05:00:00,0.23393644,0.0,0.0,0.0,0.89495731,0.23393644252512233,3.8637800430648337,0.0,0.0,0.0,0.0,0.89495731,2.9688227,3.86378,0.0,0.0,-0.0,0.0,0.0
2012-01-01 06:00:00,0.44994309,0.5538023,0.0,0.0,1.0286209,0.4499430851214405,4.939265209691127,0.0,0.0,0.5538023,0.49842207,1.0286209,3.4122222,4.4408431,0.0,0.0,-0.0,0.0,0.0
2012-01-01 07:00:00,0.64642173,0.18202965,0.0,0.0,1.0286209,0.6464217283524036,4.604669824518503,0.0,0.0,0.18202965,0.16382669,1.0286209,3.4122222,4.4408431,0.0,0.0,-0.0,0.0,0.0
2012-01-01 08:00:00,0.66674883,0.0,0.0,0.0,0.97245876,0.666748827436034,4.198375428237458,0.0,0.0,0.0,0.0,0.97245876,3.2259167,4.1983754,0.0,0.0,-0.0,0.0,0.0
2012-01-01 09:00:00,0.61540667,0.0,0.0,0.0,0.89680258,0.6154066705368397,3.8717465998546574,0.0,0.0,0.0,0.0,0.89680258,2.974944,3.8717466,0.0,0.0,-0.0,0.0,0.0
2012-01-01 10:00:00,0.5783249,0.0,0.0,0.0,0.83221803,0.580396114129899,3.592917112210804,0.0,0.0,0.0,0.0,0.83221803,2.7606991,3.5929171,0.0020712173,0.0020712173,-0.0,0.0,0.0020712173
2012-01-01 11:00:00,0.59093424,0.0,0.0,0.0,0.7934673,0.5909342416646558,3.425619419624491,0.0,0.0,0.0,0.0,0.7934673,2.6321521,3.4256194,0.0,0.0,-0.0,0.0,0.0
2012-01-01 12:00:00,0.65281453,0.0,0.0,0.0,0.78239567,0.6528145260986068,3.377820078885545,0.0,0.0,0.0,0.0,0.78239567,2.5954244,3.3778201,0.0,0.0,-0.0,0.0,0.0
2012-01-01 13:00:00,0.64677133,0.0,0.0,0.0,0.77870512,0.6467713344791491,3.3618869653058963,0.0,0.0,0.0,0.0,0.77870512,2.5831818,3.361887,0.0,0.0,-0.0,0.0,0.0
2012-01-01 14:00:00,0.57610095,0.0,0.0,0.0,0.80084839,0.5761009531441688,3.457485646783789,0.0,0.0,0.0,0.0,0.80084839,2.6566373,3.4574856,0.0,0.0,-0.0,0.0,0.0
2012-01-01 15:00:00,0.5235102,0.0,0.0,0.0,0.83590858,0.5235102029351693,3.6088502257904524,0.0,0.0,0.0,0.0,0.83590858,2.7729416,3.6088502,0.0,0.0,-0.0,0.0,0.0
2012-01-01 16:00:00,0.52545801,0.0,0.0,0.0,0.88388567,0.5254580084984655,3.815980702325887,0.0,0.0,0.0,0.0,0.88388567,2.932095,3.8159807,0.0,0.0,-0.0,0.0,0.0
2012-01-01 17:00:00,0.642626,0.0,0.0,0.0,0.94108913,0.6426260046905955,4.062943962810443,0.0,0.0,0.0,0.0,0.94108913,3.1218548,4.062944,0.0,0.0,-0.0,0.0,0.0
2012-01-01 18:00:00,0.83001489,0.0,0.0,0.0,0.96507767,0.830014888626176,4.166509201078161,0.0,0.0,0.0,0.0,0.96507767,3.2014315,4.1665092,0.0,0.0,-0.0,0.0,0.0
2012-01-01 19:00:00,0.93434735,0.0,0.0,0.0,0.97245876,0.9343473455935075,4.198375428237458,0.0,0.0,0.0,0.0,0.97245876,3.2259167,4.1983754,0.0,0.0,-0.0,0.0,0.0
2012-01-01 20:00:00,0.84025335,0.0,0.0,0.0,0.92817222,0.8402533537665795,4.007178065281672,0.0,0.0,0.0,0.0,0.92817222,3.0790058,4.0071781,0.0,0.0,-0.0,0.0,0.0
2012-01-01 21:00:00,0.7040568,0.0,0.0,0.0,0.80822949,0.7040567955330165,3.489351873943087,0.0,0.0,0.0,0.0,0.80822949,2.6811224,3.4893519,0.0,0.0,-0.0,0.0,0.0
2012-01-01 22:00:00,0.58269353,0.0,0.0,0.0,0.55173657,0.5826935258199407,2.382000480157495,0.0,0.0,0.0,0.0,0.55173657,1.8302639,2.3820005,0.0,0.0,-0.0,0.0,0.0
