,reductionco2,Electricity Demand,PV,PV_south,PV_excess,ST_electricity,GCHP,ASHP,grid_import
0,0.0,76.49,44.49,44.49,9.32,0.0,81.89,0.0,127.44999999999999
0,50.0,76.49,48.05,48.05,12.12,0.44,38.91,0.0,89.16
0,100.0,76.49,90.74,90.74,43.95,4.43,22.42,0.0,56.55
