id,component_type,from_node,id,length,to_node,existing,hp_type
106,Pipe,forks-94,106,76.79409946571545,forks-88,0,
107,Pipe,forks-95,107,20.81674577027089,forks-96,0,
108,Pipe,forks-96,108,28.43722688419994,forks-97,0,
109,Pipe,forks-96,109,70.64730303591837,forks-98,0,
110,Pipe,forks-96,110,67.99434261238106,forks-99,0,
111,Pipe,forks-88,111,112.05252904622039,forks-100,0,
112,Pipe,forks-83,112,37.45313491936982,forks-101,0,
113,Pipe,forks-101,113,157.81651292424343,forks-102,0,
114,Pipe,forks-101,114,42.71470350596576,forks-103,0,
115,Pipe,forks-102,115,158.50907629661452,forks-104,0,
116,Pipe,forks-102,116,74.81218882485702,forks-105,0,
117,Pipe,forks-104,117,69.3645469880237,forks-106,0,
118,Pipe,forks-104,118,70.75175262504447,forks-107,0,
119,Pipe,forks-105,119,167.0575226359685,forks-107,0,
120,Pipe,forks-105,120,63.81140649462565,forks-108,0,
121,Pipe,forks-103,121,72.48183368950684,forks-109,0,
122,Pipe,forks-109,122,71.21583429024135,forks-110,0,
123,Pipe,forks-110,123,44.40501049433861,forks-111,0,
124,Pipe,forks-111,124,41.26038003923014,forks-100,0,
125,Pipe,forks-100,125,325.4095441651286,forks-112,0,
