,reductionco2,Electricity Demand,PV,PV_south,PV_excess,ST_electricity,GCHP,ASHP,grid_import
0,0.0,246.89,167.72,167.72,59.08,0.0,303.35,0.0,446.87
0,30.0,246.89,197.55,197.55,91.89,0.0,263.97,0.0,405.20000000000005
0,50.0,246.89,195.76,195.76,100.44,0.0,183.54,0.0,335.12
0,70.0,246.89,177.57,177.57,98.82,4.14,86.66,0.0,258.93
0,100.0,246.89,873.35,873.35,726.36,0.0,71.21,0.0,171.11
