date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_hp_electricity_bus_shortage_output1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_electricity_sink_input1,01_heat_sink_input1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_electricheating_transformer_input1,01_electricheating_transformer_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-01 14:00:00,0.46088076,2.4105294,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.460880762515335,3.457485646783789,0.0,0.0,0.23939578,3.4574856,3.4574856,0.0,0.0,0.0,0.0,2.4105294,2.1694765,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 15:00:00,0.41880816,2.5787123,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.4188081623481354,3.6088502257904524,0.0,0.0,0.23939578,3.6088502,3.6088502,0.0,0.0,0.0,0.0,2.5787123,2.320841,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 16:00:00,0.42036641,2.8088573,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.4203664067987724,3.815980702325887,0.0,0.0,0.23939578,3.8159807,3.8159807,0.0,0.0,0.0,0.0,2.8088573,2.5279715,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 17:00:00,0.5141008,3.0832609,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.5141008037524765,4.062943962810443,0.0,0.0,0.23939578,4.062944,4.062944,0.0,0.0,0.0,0.0,3.0832609,2.7749348,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0.66401191,3.1983334,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.6640119109009408,4.166509201078161,0.0,0.0,0.23939578,4.1665092,4.1665092,0.0,0.0,0.0,0.0,3.1983334,2.8785,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.74747788,3.2337403,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.747477876474806,4.198375428237458,0.0,0.0,0.23939578,4.1983754,4.1983754,0.0,0.0,0.0,0.0,3.2337403,2.9103663,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.67220268,3.0212988,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.6722026830132636,4.007178065281672,0.0,0.0,0.23939578,4.0071781,4.0071781,0.0,0.0,0.0,0.0,3.0212988,2.7191689,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.56324544,2.4459363,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.5632454364264132,3.489351873943087,0.0,0.0,0.23939578,3.4893519,3.4893519,0.0,0.0,0.0,0.0,2.4459363,2.2013427,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.46615482,1.2155459,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.4661548206559526,2.382000480157495,0.0,0.0,0.23939578,2.3820005,2.3820005,0.0,0.0,0.0,0.0,1.2155459,1.0939913,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.34517112,0.49855578,0.0,0.29833821,0.0,0.0,-0.0,0.0,0.3451711233090575,1.7367093801817188,0.0,0.0,0.23939578,1.7367094,1.7367094,0.0,0.0,0.0,0.0,0.49855578,0.4487002,0.29833821,0.98967097,1.2880092,0.0,0.0,0.0,0.0
