date,01_electricity_bus_shortage_output1,01_pellet_bus_shortage_output1,01_pv_bus_excess_input1,01_pv_to_01_electricity_link_input1,01_pv_to_01_electricity_link_output1,01_electricity_to_01_hp_electricity_bus_input1,01_electricity_to_01_hp_electricity_bus_output1,01_thermal_storage_input1,01_thermal_storage_output1,01_thermal_storage_capacity,01_electricity_sink_input1,01_heat_sink_input1,01_heat_without_storage_to_01_heat_input1,01_heat_without_storage_to_01_heat_output1,01_heat_storage_to_01_heat_input1,01_heat_storage_to_01_heat_output1,01_pelletheating_transformer_input1,01_pelletheating_transformer_output1,01_GCHP_transformer_input1,01_GCHP_transformer_input2,01_GCHP_transformer_output1,01_photovoltaic_electricity_source_output1,01_solar_thermal_source_input1,01_solar_thermal_source_input2,01_solar_thermal_source_output1
2012-01-03 22:00:00,0.54210925,3.1327338,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.542109248878029,2.8194604051030026,2.8194604,2.8194604,0.0,0.0,3.1327338,2.8194604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 23:00:00,0.40062864,2.2840668,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.4006286437573701,2.0556600946904835,2.0556601,2.0556601,0.0,0.0,2.2840668,2.0556601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 00:00:00,0.29426847,0.25820986,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.2942684712549148,0.2323888760761328,0.23238888,0.23238888,0.0,0.0,0.25820986,0.23238888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 01:00:00,0.21911314,0.27684356,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.21911314275111374,0.24915920733935884,0.24915921,0.24915921,0.0,0.0,0.27684356,0.24915921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 02:00:00,0.19889592,0.29547727,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.19889591987874622,0.26592953860258495,0.26592954,0.26592954,0.0,0.0,0.29547727,0.26592954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 03:00:00,0.18722906,0.42857513,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.1872290639919254,0.38571761905419977,0.38571762,0.38571762,0.0,0.0,0.42857513,0.38571762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 04:00:00,0.19490042,0.77462959,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.1949004212873692,0.6971666282283984,0.69716663,0.69716663,0.0,0.0,0.77462959,0.69716663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 05:00:00,0.30913274,0.4302111,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.23677324652499998,1.5931814700064773,0.38718999,0.38718999,1.2059915,1.2059915,0.4302111,0.38718999,0.0,0.0,0.0,0.0,0.072359489,1.2694647,1.2059915
2012-01-04 06:00:00,0.49856101,0.21518039,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7182898,0.3911593120958066,1.9836906122787414,0.19366235,0.19366235,1.7900283,1.7900283,0.21518039,0.19366235,0.0,0.0,0.0,0.0,0.1074017,1.8842403,1.7900283
2012-01-04 07:00:00,0.64033944,0.0,0.0,0.0,0.0,-0.0,0.0,0.23071347,0.0,1.9490033,0.5182561222875085,1.8040084916013195,0.0,0.0,1.8040085,1.8040085,0.0,0.0,0.0,0.0,0.0,0.0,0.12208332,2.1418126,2.034722
